control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak258	361	90	2858	1909	130	128	863	1080
peak259	193	111	1307	1974	448	436	1773	3199
peak260	64	18	122	101	38	25	118	186
peak261	1809	925	5535	4817	820	860	7740	8073
peak262	897	370	1855	1722	519	390	2733	3176
peak263	725	243	3854	3867	418	414	2438	3280
peak264	349	88	4258	3172	223	183	3576	5324
peak265	151	83	267	327	85	116	293	739
peak266	211	65	689	584	104	127	672	701
peak267	375	156	734	1050	205	118	932	1523
peak268	509	76	1801	656	258	100	3373	1304
peak269	680	258	1129	521	243	203	2153	1021
peak270	705	213	2375	2554	173	204	901	1376
peak271	656	160	2653	1674	303	150	4841	4190
peak272	1380	694	22883	34196	994	1106	7993	15173
peak273	14	14	363	607	24	10	152	321
peak274	58	18	167	229	45	27	288	408
peak275	404	151	1472	1780	165	107	1307	1843
peak276	175	59	481	526	101	112	729	939
peak277	203	108	690	1132	87	119	357	774
peak278	289	156	1494	1957	147	165	359	761
peak279	724	252	1425	1137	332	177	2950	2901
peak280	2010	495	2706	1364	715	319	5455	2754
peak281	2229	420	4383	1754	784	370	7749	2780
peak282	126	33	1210	1474	39	44	211	481
peak283	99	34	621	591	7	21	155	282
peak284	52	11	381	642	22	41	166	338
peak285	64	44	972	1467	48	51	286	620
peak286	659	275	1459	1784	152	216	389	884
peak287	18	13	117	176	26	8	197	395
peak288	29	25	96	301	22	23	118	279
peak289	105	45	1053	1771	55	88	562	1356
peak290	47	33	357	706	29	39	103	483
peak291	206	65	1336	1053	66	53	496	519
peak292	63	24	435	537	31	24	208	404
peak293	45	17	409	562	17	36	137	284
peak294	1191	372	12138	10643	645	731	6577	10367
peak295	400	81	2184	1419	225	225	1731	1801
peak296	573	288	5713	8882	185	236	820	1797
peak297	231	98	208	507	60	131	323	911
peak298	81	60	98	112	37	37	162	145
peak299	22	24	181	179	39	17	218	348
peak300	812	359	960	791	420	404	2175	2365
peak301	1849	595	7200	8682	1018	850	8102	12064
peak302	131	75	355	343	89	89	386	480
peak303	535	192	823	812	562	454	2618	3769
peak304	805	427	7945	9967	441	445	1723	3150
peak305	362	162	602	469	84	81	765	713
peak306	175	93	280	415	95	116	324	458
peak307	924	552	9392	15341	519	669	2575	4418
peak308	308	165	686	860	161	216	677	1117
peak309	224	133	380	496	133	182	519	616
peak310	300	101	1590	1207	108	82	708	616
peak311	206	78	235	220	86	88	395	721
peak312	119	37	164	165	97	58	270	285
peak313	355	215	642	1139	129	248	916	2072
peak314	226	110	253	385	72	114	335	572
peak315	1366	717	4421	5736	853	886	7164	10451
peak316	1107	482	8646	12011	647	592	3326	5806
peak317	161	73	956	1538	113	75	1341	2474
peak318	118	46	151	237	47	71	359	494
peak319	94	36	256	432	70	71	466	1081
peak320	62	3	698	204	20	33	192	75
peak321	64	22	145	123	55	31	501	412
peak322	80	30	843	823	40	43	362	562
peak323	44	16	166	159	50	20	359	348
peak324	20	4	108	83	18	18	186	240
peak325	539	228	3015	4501	248	333	1678	2940
peak326	264	81	1867	2094	198	119	1190	1712
peak327	57	12	403	213	53	26	314	142
peak328	158	75	1588	1586	66	102	312	450
peak329	1043	386	3070	4020	578	574	3109	4099
peak330	1008	234	7277	3890	443	283	5847	5130
peak331	1489	393	11490	8169	440	347	4481	4270
peak332	451	90	5358	2746	143	125	1660	1179
peak333	577	211	3912	4391	351	240	1904	2452
peak334	300	93	2221	2255	83	60	564	772
peak335	212	99	340	253	117	100	806	1080
peak336	95	31	98	80	30	68	178	250
peak337	1856	758	2230	3004	814	783	4123	5881
peak338	833	222	825	540	306	200	2260	1121
peak339	752	198	662	312	243	146	1634	709
peak340	826	227	651	535	189	171	1111	1099
peak341	746	179	703	474	226	156	1578	890
peak342	841	161	746	431	212	130	1436	978
peak343	682	149	741	336	204	81	1141	686
peak344	926	237	814	485	251	189	1216	1230
peak345	637	93	422	341	197	119	1069	843
peak346	454	52	420	136	234	74	1094	409
peak347	577	204	293	199	212	184	883	381
peak348	751	80	1488	625	221	88	2536	1503
peak349	882	358	1505	1106	252	275	2089	2262
peak350	1493	835	1446	1524	447	642	1833	2802
peak351	124	50	1450	848	101	98	1182	1395
peak352	562	186	1206	1770	468	426	2409	3641
peak353	206	95	215	118	128	121	388	233
peak354	294	101	496	451	172	140	926	789
peak355	29	18	43	120	24	34	274	359
peak356	60	8	355	106	17	7	247	111
peak357	43	12	274	357	25	35	108	251
peak358	43	28	113	112	54	73	359	611
peak359	980	341	3634	3570	468	422	2163	2633
peak360	2183	453	3693	1808	845	508	4665	3340
peak361	44	20	609	936	30	35	475	920
peak362	94	44	383	492	77	69	644	1216
peak363	121	55	234	237	72	98	384	573
peak364	6	6	27	49	30	18	225	355
peak365	158	96	1311	1855	206	176	669	1293
peak366	78	27	407	438	86	41	226	339
peak367	180	67	209	259	97	119	721	812
peak368	688	237	3403	3336	330	416	1420	1795
peak369	438	101	6589	3505	211	222	1202	1484
peak370	203	43	840	808	464	510	1988	3672
peak371	256	78	2969	2623	796	614	10595	15302
peak372	88	19	271	318	107	90	1212	1834
peak373	237	72	2059	2392	188	221	1639	2493
peak374	135	44	1901	1929	110	110	773	1182
peak375	529	165	3674	4234	160	195	845	1178
peak376	143	33	1155	1047	161	143	489	667
peak377	146	29	1057	1243	127	139	657	1218
peak378	288	113	938	1045	76	136	297	353
peak379	82	41	379	551	26	66	250	518
peak380	70	25	116	133	31	48	193	238
peak381	1964	407	1101	561	1010	565	3404	1918
peak382	44	12	152	107	60	28	365	334
peak383	122	53	1494	1133	69	61	278	458
peak384	153	86	479	659	67	77	374	937
peak385	123	15	870	576	67	56	504	572
peak386	87	30	554	494	51	51	387	599
peak387	124	31	405	143	52	7	481	214
peak388	1352	328	2320	1566	724	348	3349	2417
peak389	1377	403	9176	6866	632	491	4304	5599
peak390	848	207	1367	997	340	229	1671	1294
peak391	650	192	1262	618	274	164	2760	1216
peak392	2125	563	6973	4254	854	427	12434	6375
peak393	72	25	66	99	38	81	245	375
peak394	140	68	774	835	58	102	223	375
peak395	208	59	1211	1254	95	102	329	712
peak396	159	66	154	231	77	68	240	262
peak397	96	63	539	829	46	74	158	414
peak398	88	36	233	199	41	39	401	443
peak399	85	35	148	182	43	43	207	187
peak400	30	13	303	480	14	19	252	426
peak401	253	119	298	477	130	102	746	1141
peak402	193	76	132	143	122	110	473	600
peak403	139	43	186	208	105	95	777	805
peak404	100	45	139	151	49	100	279	308
peak405	574	288	5675	8977	103	171	1381	2254
peak406	195	98	1054	1499	44	80	312	563
peak407	790	278	4176	4366	245	209	2552	3763
peak408	223	163	1951	3130	60	67	139	223
peak409	63	20	290	475	34	54	540	1311
peak410	4	2	108	205	11	11	130	337
peak411	1402	689	1223	924	615	619	2872	2347
peak412	2017	1099	3169	3951	1175	1233	8312	9450
peak413	205	63	608	600	139	145	399	551
peak414	366	198	691	878	149	223	1492	2240
peak415	896	259	1128	1347	279	297	1873	2478
peak416	418	208	428	567	302	396	938	1368
peak417	1399	547	8341	6883	617	454	10988	12487
peak418	3440	1570	15810	15483	1368	1298	19781	25189
peak419	10	2	109	61	3	0	137	84
peak420	722	321	1491	1979	322	320	3170	4146
peak421	2276	1265	26342	39721	1081	1159	6367	12146
peak422	108	63	1006	1434	44	87	473	1092
peak423	1214	469	5233	8913	458	446	8245	16989
peak424	204	96	123	154	173	169	404	495
peak425	427	172	1394	1893	145	148	427	741
peak426	330	121	498	578	177	188	1112	1587
peak427	962	459	6582	10407	520	563	2788	6886
peak428	157	95	188	347	202	306	779	1641
peak429	134	59	973	1638	110	144	601	1166
peak430	78	37	130	91	89	60	496	599
peak431	16	10	334	475	20	34	194	350
peak432	868	369	358	338	272	236	940	663
peak433	521	242	995	810	230	205	1874	1880
peak434	118	38	822	1129	41	61	510	1010
peak435	192	71	1606	1938	78	138	914	2369
peak436	134	50	225	291	116	117	275	388
peak437	151	81	1733	2556	120	128	812	2226
peak438	102	36	887	1108	69	60	303	510
peak439	991	257	6036	5125	561	454	3957	4908
peak440	1057	404	8442	7952	740	785	5158	8183
peak441	425	147	687	497	330	245	1393	1189
peak442	115	69	348	457	255	118	1706	1917
peak443	141	52	494	676	68	44	176	282
peak444	71	46	173	280	48	59	388	809
peak445	3	12	59	109	16	13	98	159
peak446	2471	1016	9400	10788	904	852	9815	16542
peak447	176	54	1081	1128	152	89	1146	1605
peak448	99	31	252	298	60	56	304	456
peak449	263	82	603	474	106	137	1164	1447
peak450	256	102	978	957	161	130	2381	3075
peak451	198	81	594	644	112	160	1507	2199
peak452	347	110	2804	2691	210	196	1011	2131
peak453	138	59	1900	1740	71	97	622	1155
peak454	390	151	478	376	244	272	1037	1344
peak455	1046	427	6538	8020	787	801	5976	8321
peak456	766	265	8127	9429	474	540	4598	9223
peak457	120	88	301	302	101	128	253	384
peak458	155	59	537	630	112	133	583	979
peak459	204	77	1670	2597	12	8	43	242
peak460	782	240	322	303	223	257	974	576
peak461	468	98	223	230	127	93	773	455
peak462	479	126	5519	4286	150	93	1272	1120
peak463	130	66	355	576	150	137	961	1470
peak464	114	77	104	224	54	82	208	436
peak465	1983	541	8175	5560	765	589	4306	3499
peak466	247	112	635	816	215	184	2113	3090
peak467	135	39	415	285	98	84	666	674
peak468	2689	1052	6580	7669	1461	1419	17123	21608
peak469	1680	592	2045	2021	666	841	3852	5422
peak470	390	153	416	329	345	233	938	857
peak471	750	339	5639	6990	554	563	2723	5507
peak472	219	93	419	712	172	170	1736	2422
peak473	105	38	129	120	54	71	356	501
peak474	187	73	993	729	109	91	473	619
peak475	320	97	2043	1785	139	139	845	890
peak476	238	125	360	687	128	141	517	1162
peak477	19	12	287	404	30	53	121	418
peak478	73	50	1042	1280	47	64	413	671
peak479	158	49	217	283	77	130	422	778
peak480	243	94	778	1151	107	121	632	874
peak481	205	90	1291	1333	113	92	949	1359
peak482	184	107	244	353	184	113	548	891
peak483	87	73	311	530	42	30	256	477
peak484	71	51	923	1239	58	84	528	1136
peak485	50	11	269	338	28	29	332	526
peak486	4328	1264	17844	10797	938	530	6209	4569
peak487	2453	932	11366	13475	1227	1376	11404	18177
peak488	1330	522	4952	5109	736	810	8876	12357
peak489	276	73	2258	1756	158	123	1808	2549
peak490	206	46	2483	2408	54	50	893	1705
peak491	338	142	1817	1842	221	261	2184	2344
peak492	97	44	283	208	57	99	462	745
peak493	106	17	365	592	52	57	218	466
peak494	1082	580	8809	12724	659	930	4663	9505
peak495	109	58	165	229	140	119	676	966
peak496	760	375	2009	2181	173	242	750	983
peak497	708	173	2536	1404	171	137	1028	748
peak498	524	88	2091	918	125	67	908	379
peak499	611	178	1707	1170	211	165	962	896
peak500	852	206	4113	2187	292	157	1820	1192
peak501	813	200	5149	3188	321	218	2850	2794
peak502	1407	329	3784	2522	237	202	1501	1502
peak503	387	63	253	139	116	47	538	185
peak504	484	108	501	364	108	87	725	512
peak505	554	135	832	562	170	103	883	611
peak506	441	131	1191	829	171	139	1531	1392
peak507	64	25	499	562	189	104	757	910
peak508	22	14	44	38	48	30	286	250
peak509	184	73	1722	1671	109	124	593	999
peak510	467	225	4132	5857	390	473	2762	6582
peak511	61	24	241	217	69	45	458	648
peak512	119	29	1398	1512	115	127	1064	1883
peak513	139	64	1096	1385	124	157	615	1372
peak514	28	20	422	562	32	40	481	549
peak515	140	34	397	289	77	50	622	656
peak516	41	42	241	626	28	41	252	496
peak517	563	311	2383	3876	387	389	1509	2192
peak518	48	23	154	143	53	49	305	350
peak519	221	71	1870	1355	184	266	1533	2013
peak520	7	2	103	69	14	9	99	148
peak521	486	152	2722	3321	207	158	1085	1339
peak522	249	91	315	216	98	86	588	386
peak523	175	48	404	269	87	90	785	584
peak524	158	29	2306	1872	107	100	1307	1854
peak525	445	141	303	410	111	140	270	449
peak526	549	151	348	318	163	157	527	596
peak527	587	268	1051	1464	396	306	2760	4132
peak528	291	102	509	351	186	131	1249	1009
peak529	1148	433	1827	1809	648	606	5037	6261
peak530	3524	1192	15235	17756	2252	2270	22931	40158
peak531	760	202	4349	3534	588	410	4193	5337
peak532	1126	480	9501	12032	792	785	6008	11584
peak533	2125	657	10914	8647	1062	995	10316	11819
peak534	164	86	2147	2429	133	178	1492	3113
peak535	422	140	3877	3828	255	212	933	1614
peak536	14	4	272	290	19	25	106	254
peak537	80	20	731	1028	80	106	529	1004
peak538	84	33	117	176	71	53	281	451
peak539	458	109	1731	1103	207	102	2176	1007
peak540	147	20	714	371	52	52	336	361
peak541	236	59	1835	1725	58	105	771	1094
peak542	9	4	57	41	12	8	190	85
peak543	6	0	18	21	19	10	143	269
peak544	100	44	797	860	68	88	518	832
peak545	19	10	114	87	33	15	340	282
peak546	301	76	2449	1693	222	225	1609	2074
peak547	264	151	411	532	129	172	697	1242
peak548	165	30	231	145	68	68	371	276
peak549	24	7	183	237	26	14	564	1084
peak550	734	206	878	533	224	157	1203	1017
peak551	313	197	1133	1740	230	420	2231	4510
peak552	328	173	1407	1819	283	410	1844	3489
peak553	403	210	3202	4961	313	319	1817	3481
peak554	79	34	896	953	72	69	613	1327
peak555	294	141	688	1052	234	203	1572	2250
peak556	68	26	883	1044	99	107	481	1100
peak557	137	52	303	350	77	111	653	1148
peak558	106	84	246	212	68	93	773	836
peak559	202	95	346	468	146	116	700	1018
peak560	204	138	1057	1669	167	132	2094	3939
peak561	105	30	913	840	80	37	2192	2126
peak562	59	29	542	297	46	27	1180	868
peak563	110	32	162	137	81	41	453	404
peak564	2650	704	7156	4839	990	738	6184	5722
peak565	824	228	1479	1032	408	225	3351	2038
peak566	1292	384	1470	1123	435	296	3377	2085
peak567	566	175	643	632	200	145	1285	1065
peak568	1373	408	2404	1615	532	266	3808	2766
peak569	161	29	418	299	46	49	468	278
peak570	814	288	3845	4453	282	245	946	1212
peak571	25	3	72	114	85	44	359	382
peak572	507	149	1209	1386	234	335	3477	4606
peak573	280	99	390	380	155	137	972	1331
peak574	608	196	2517	3084	383	356	3973	6021
peak575	416	197	426	382	207	173	947	895
peak576	279	86	328	271	93	88	912	455
peak577	174	85	315	290	126	177	971	943
peak578	73	16	434	758	46	20	161	319
peak579	77	41	413	666	56	71	309	421
peak580	103	23	121	126	48	26	141	214
peak581	248	130	1560	1738	110	97	650	784
peak582	166	113	1468	2874	88	91	348	724
peak583	537	267	6906	8195	457	540	3828	7692
peak584	381	139	194	215	146	150	388	556
peak585	2	0	46	79	41	41	332	452
peak586	889	390	1402	1748	296	352	1368	1722
peak587	680	167	754	467	293	154	1739	1108
peak588	618	147	434	262	249	110	1450	589
peak589	166	30	1125	270	90	20	718	228
peak590	443	195	2302	2833	279	291	1647	2258
peak591	214	53	1875	1297	199	166	1583	1719
peak592	117	30	295	337	100	114	372	612
peak593	44	5	128	86	48	30	226	385
peak594	1456	491	11532	11424	338	412	4160	7787
peak595	1048	299	1653	1802	274	287	1856	2878
peak596	431	150	2498	2706	398	350	2823	4053
peak597	116	42	463	852	63	71	631	1004
peak598	323	174	977	1888	99	108	377	819
peak599	75	43	245	268	39	48	268	398
peak600	120	73	790	1500	69	91	270	684
peak601	17	6	282	262	15	17	169	335
peak602	1017	221	1844	1144	337	243	2580	1929
peak603	715	265	1057	1175	366	298	1691	2402
peak604	495	106	553	329	306	232	1945	1255
peak605	595	218	1076	1038	292	268	1368	2108
