control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak405	212	77	719	776	119	39	625	290
peak406	75	38	106	19	30	10	267	76
peak407	17	10	27	9	21	3	86	21
peak408	12	4	83	37	10	1	53	20
peak409	1	3	23	1	3	1	62	11
peak410	6	3	195	29	3	3	133	39
peak411	2	1	49	10	4	1	102	35
peak412	7	5	106	71	6	2	90	29
peak413	13	7	68	54	14	2	39	21
peak414	10	3	88	38	4	3	52	11
peak415	40	13	233	87	24	6	117	44
peak416	53	34	464	308	35	9	287	128
peak417	48	19	375	282	30	10	308	192
peak418	47	19	402	234	22	10	319	139
peak419	24	7	102	66	15	7	90	34
peak420	2	2	58	43	1	0	45	16
peak421	12	4	49	7	8	1	137	21
peak422	23	10	108	72	18	4	95	30
peak423	25	12	363	89	14	3	273	61
peak424	14	7	113	92	10	2	84	46
peak425	5	3	33	43	2	2	37	15
peak426	18	12	149	68	11	4	141	43
peak427	13	1	126	49	3	1	52	28
peak428	24	16	362	216	8	3	218	101
peak429	16	6	122	67	5	3	60	16
peak430	20	8	84	26	11	3	59	17
peak431	12	4	75	60	7	1	88	34
peak432	13	5	72	25	4	1	69	19
peak433	8	3	50	32	20	8	174	262
peak434	19	10	88	74	22	2	83	28
peak435	29	14	202	151	18	5	185	61
peak436	14	2	61	8	11	3	121	41
peak437	33	33	508	327	49	3	400	149
peak438	45	15	413	129	23	3	396	95
peak439	11	8	46	24	7	1	62	13
peak440	11	5	264	94	11	3	140	50
peak441	13	3	71	44	8	3	53	32
peak442	9	6	210	76	8	2	119	39
peak443	11	6	491	274	11	1	402	161
peak444	11	6	136	58	8	1	110	38
peak445	24	8	466	210	21	3	373	113
peak446	24	12	164	73	24	0	140	38
peak447	16	3	56	52	11	2	47	13
peak448	32	10	210	167	23	4	283	98
peak449	11	4	69	40	10	3	70	16
peak450	38	22	360	163	32	6	225	74
peak451	48	12	501	210	29	4	374	101
peak452	13	7	86	51	14	5	70	21
peak453	40	8	499	288	23	7	515	157
peak454	4	0	15	33	0	1	12	13
peak455	28	12	170	101	9	6	120	72
peak456	11	1	123	79	8	2	77	37
peak457	26	9	171	137	12	2	151	53
peak458	18	19	231	17	7	17	660	179
peak459	8	1	54	60	4	0	85	18
peak460	14	7	116	106	7	1	104	47
peak461	19	15	173	80	19	9	185	42
peak462	13	6	146	18	12	2	177	40
peak463	8	5	80	11	1	5	164	56
peak464	53	26	181	114	37	7	220	76
peak465	22	10	133	102	22	8	173	33
peak466	15	2	250	124	11	3	178	111
peak467	11	9	56	31	6	3	68	39
peak468	24	10	277	208	14	5	232	88
peak469	0	0	30	1	0	1	121	35
peak470	14	9	115	38	10	2	130	18
peak471	3	1	124	46	0	0	92	30
peak472	13	2	76	32	6	0	48	12
peak473	31	9	410	228	15	6	460	158
peak474	44	15	132	117	22	4	138	46
peak475	19	5	278	31	7	3	216	57
peak476	12	6	135	154	9	1	158	74
peak477	14	6	154	102	6	6	125	42
peak478	49	12	161	151	19	4	186	37
peak479	8	4	48	36	1	4	72	21
peak480	10	1	52	25	4	2	64	19
peak481	14	3	113	28	6	4	72	23
peak482	6	2	32	6	4	3	63	40
peak483	2	1	57	16	4	3	163	53
