control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak245	103	76	81	176	139	104	68	84	103	98	90	154
peak246	17	13	13	52	42	42	10	20	23	27	46	47
peak247	15	15	13	417	257	274	15	24	31	185	304	424
peak248	26	20	18	40	32	30	21	21	24	21	47	51
peak249	57	45	54	177	130	133	61	58	74	121	167	206
peak250	23	29	31	236	163	141	42	42	42	138	172	250
peak251	78	57	62	134	104	88	62	79	89	69	138	156
peak252	29	26	34	164	98	94	27	30	38	87	122	125
peak253	11	17	14	141	69	83	21	15	23	60	117	130
peak254	42	32	37	186	125	120	42	38	36	87	134	171
peak255	22	12	18	95	62	60	17	29	33	52	66	114
peak256	3	8	5	26	19	13	7	4	4	14	17	21
peak257	657	401	620	495	364	327	853	1127	1016	444	498	615
peak258	44	30	34	380	248	209	32	36	36	152	183	302
peak259	17	14	18	118	70	61	18	17	15	73	82	106
peak260	36	22	26	165	121	96	32	44	28	71	102	158
peak261	67	46	40	189	148	106	60	57	52	81	132	213
peak262	321	218	240	1989	1361	1164	307	300	304	962	1231	1728
peak263	68	50	82	866	567	527	73	69	57	476	571	834
peak264	20	16	21	71	36	41	25	40	22	38	46	98
peak265	50	28	24	81	66	61	30	30	35	30	68	109
peak266	9	4	8	48	36	48	14	14	13	24	60	72
peak267	12	16	8	32	37	40	11	21	23	49	88	64
peak268	8	4	6	24	17	25	8	16	7	18	29	26
peak269	4	4	1	26	23	12	1	6	3	20	14	24
peak270	255	169	201	422	267	266	215	257	260	260	303	441
peak271	127	118	153	1088	754	743	191	223	183	817	885	1567
peak272	27	27	25	105	104	77	42	44	43	60	93	109
peak273	39	17	22	95	58	45	37	21	30	47	62	85
peak274	33	20	17	82	64	63	25	26	44	53	51	71
peak275	21	14	34	164	96	78	32	27	30	63	71	116
peak276	26	20	18	146	118	111	32	24	33	66	126	150
peak277	41	21	19	53	30	36	28	30	30	21	45	50
peak278	9	4	4	52	33	34	9	5	6	23	29	42
peak279	64	48	65	481	343	320	83	95	94	380	538	668
