control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak71	38	39	71	48	24	81	88	34	35	16	111	9
peak72	63	94	158	114	103	520	198	80	71	168	674	65
peak73	19	22	61	17	8	34	57	30	29	6	34	5
peak74	28	35	62	23	14	31	83	26	33	9	72	7
peak75	51	57	100	23	13	57	126	51	52	7	98	13
peak76	35	27	62	34	15	64	89	28	36	16	94	16
peak77	52	63	144	50	29	167	156	59	61	47	164	14
peak78	14	16	40	23	12	56	43	20	24	7	65	12
peak79	23	29	55	16	8	48	71	21	23	13	57	9
peak80	121	152	343	453	275	1396	420	160	143	383	1837	176
peak81	37	39	79	32	37	107	122	51	20	42	172	17
peak82	9	12	21	0	0	1	32	8	5	2	10	0
peak83	24	40	79	14	8	50	94	34	28	10	60	11
peak84	80	84	216	57	48	282	236	90	68	66	275	30
peak85	43	32	126	27	18	73	135	49	28	12	108	7
peak86	53	56	88	76	31	137	152	48	58	51	245	19
peak87	18	18	46	46	13	71	75	14	20	23	112	13
peak88	34	21	47	37	44	75	64	31	33	52	201	27
peak89	28	28	67	24	13	69	70	30	30	12	69	8
peak90	586	649	1409	961	584	2971	1642	621	504	516	2621	306
peak91	69	67	126	64	26	114	161	88	59	47	248	15
peak92	74	63	150	186	140	503	161	75	58	137	759	73
peak93	127	149	342	101	71	235	347	140	115	69	313	40
peak94	42	59	152	28	17	109	184	61	42	24	90	16
peak95	59	49	101	34	38	115	115	46	41	23	132	23
peak96	85	90	208	196	143	648	227	96	75	151	813	89
peak97	27	25	80	94	50	175	77	32	25	41	265	36
peak98	2	3	1	0	3	10	9	0	2	3	12	2
peak99	56	62	121	34	15	74	146	37	48	18	101	8
peak100	78	88	141	35	33	122	186	69	63	25	142	11
peak101	104	95	161	56	39	107	218	82	64	18	145	18
peak102	855	945	1744	616	414	1588	2413	900	782	403	1853	226
peak103	79	49	157	49	33	120	106	37	62	18	106	26
peak104	31	27	70	51	40	233	78	35	44	51	350	31
peak105	61	73	138	64	44	175	189	87	60	55	223	18
peak106	8	10	25	17	8	43	11	14	4	8	67	6
peak107	10	16	23	3	4	15	25	17	7	10	17	2
peak108	58	85	125	252	163	640	134	49	54	201	769	98
peak109	26	32	63	22	11	56	78	41	25	11	73	8
peak110	12	10	37	7	3	31	38	7	12	8	50	3
peak111	4	5	12	14	11	50	36	13	11	28	98	5
peak112	18	17	42	34	31	128	65	12	21	22	58	11
peak113	980	976	2658	557	407	1744	2415	920	866	312	1341	227
peak114	411	417	1191	171	128	824	1041	347	398	141	561	89
peak115	551	478	894	771	477	1683	1257	546	400	385	2318	251
peak116	73	70	87	110	64	240	123	56	49	53	285	34
peak117	37	40	61	45	31	104	67	30	27	31	163	23
peak118	3	6	21	19	19	43	14	6	4	21	76	5
peak119	6	9	18	8	2	9	18	9	4	4	12	2
peak120	48	62	76	17	13	61	109	38	36	7	52	9
peak121	59	65	91	42	18	85	122	42	48	10	63	11
peak122	579	614	1357	605	407	1867	1663	615	545	396	1906	239
peak123	2	4	3	2	1	19	10	0	0	2	1	2
peak124	0	0	2	5	1	5	3	4	2	0	14	3
peak125	3	3	10	18	15	15	7	10	5	7	30	2
peak126	5	4	12	7	5	17	11	6	4	4	32	1
peak127	95	120	229	57	53	203	335	118	131	107	445	37
peak128	4	1	9	5	0	27	4	2	0	9	24	2
peak129	46	63	147	119	68	243	188	85	59	69	364	37
peak130	65	82	122	228	155	843	204	78	82	226	916	104
peak131	286	248	454	241	160	508	599	306	202	146	975	91
peak132	63	69	112	90	53	242	154	73	38	64	400	27
peak133	46	49	97	13	1	23	118	56	24	5	42	2
peak134	20	23	38	4	7	38	51	24	17	13	49	1
peak135	4	9	12	1	2	11	15	6	0	5	12	0
