control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak238	968	331	1855	1155	5155	6579	2565	5088
peak239	1012	650	3026	2024	5067	6169	5050	10143
peak240	57	12	201	161	69	94	382	624
peak241	324	68	3566	1591	826	1108	3185	6015
peak242	122	33	1750	730	408	467	2742	4994
peak243	28	0	90	35	113	134	254	321
peak244	16	0	334	84	16	46	224	399
peak245	258	96	1959	810	813	809	3055	5228
peak246	331	104	623	287	718	1058	1128	1806
peak247	318	75	752	369	452	636	942	1892
peak248	580	247	3357	2087	1246	1859	3755	7501
peak249	590	165	1652	942	739	1056	1579	2727
peak250	226	13	377	299	160	480	294	625
peak251	101	14	542	339	278	282	769	1402
peak252	76	28	522	481	298	283	270	444
peak253	9	0	321	237	30	62	251	549
peak254	132	41	558	408	140	161	367	598
peak255	253	46	705	286	351	403	549	1060
peak256	249	99	802	594	141	159	701	907
peak257	346	45	2256	880	1018	1287	2216	4385
peak258	103	68	449	317	145	206	557	1480
peak259	162	31	586	944	248	388	596	1287
peak260	110	25	888	494	301	376	1029	1848
peak261	587	71	4680	2449	1212	1436	5209	8190
peak262	151	31	951	247	176	175	538	968
peak263	958	231	7838	2257	1994	2554	6806	11682
peak264	762	347	7778	4170	2890	3691	9158	17062
peak265	1159	204	4277	1926	3038	3332	4656	8654
peak266	2341	1239	4792	1888	4645	4947	2453	4279
peak267	92	20	772	288	130	171	722	922
peak268	917	602	4212	1608	1826	1963	1928	3347
peak269	976	475	5757	4038	1053	1331	2836	6056
peak270	39	0	199	59	36	54	104	260
peak271	22	0	237	76	33	57	117	378
peak272	446	210	6872	4648	1359	1523	5635	12339
peak273	739	34	1530	788	841	970	1204	2024
peak274	19	22	523	142	75	88	263	308
peak275	16	0	86	12	26	27	156	166
peak276	140	42	497	344	237	262	400	771
peak277	61	1	636	397	255	272	748	1838
peak278	1218	116	1892	722	2079	2555	3007	4905
peak279	1008	295	4385	1671	2668	3441	4026	8888
peak280	15	0	167	187	70	69	226	543
peak281	301	99	1289	1082	510	686	1000	2027
peak282	42	0	357	181	64	62	153	414
peak283	31	26	233	68	222	229	242	455
peak284	11	0	298	106	116	151	415	1016
peak285	5	0	243	209	77	83	342	558
peak286	1839	362	3163	1785	3976	4563	2602	5698
peak287	56	14	604	376	49	126	506	776
peak288	38	0	288	51	40	83	172	281
peak289	10	24	685	238	116	187	581	1096
peak290	151	49	1596	612	272	377	1188	2184
peak291	419	41	4010	1119	263	319	2555	3866
peak292	48	62	232	160	82	113	120	243
peak293	1327	449	13006	6572	8175	8522	20829	34565
peak294	1277	106	778	312	1456	1621	1737	3741
peak295	9	0	359	113	6	18	269	288
peak296	25	0	248	69	32	45	116	407
peak297	61	0	815	496	171	170	603	1396
peak298	74	0	481	254	57	111	291	395
peak299	130	53	1038	400	213	258	655	1128
peak300	163	223	422	187	551	691	450	958
peak301	4296	365	14124	5815	5187	5876	12373	19346
peak302	222	0	102	0	72	255	277	228
peak303	15	0	385	52	32	42	137	254
peak304	20	0	171	187	13	14	103	98
peak305	26	131	217	141	97	106	163	299
peak306	436	71	2389	1335	935	1304	2257	4313
peak307	482	29	2590	1836	1102	1379	2480	5213
peak308	222	102	367	382	125	151	212	505
peak309	1010	428	5753	4436	1249	1613	2734	5401
peak310	1421	915	5805	3858	2708	3231	3275	6862
peak311	439	73	3959	1913	966	993	3104	4921
peak312	124	0	972	756	367	447	599	1298
peak313	65	0	323	274	78	80	246	654
peak314	35	78	790	261	167	224	693	1146
peak315	156	61	1561	471	358	413	1396	2495
peak316	92	20	844	291	499	570	929	2206
peak317	416	92	1658	1142	848	1028	1026	2754
peak318	750	158	1766	818	1464	1716	1864	3607
peak319	296	77	2144	903	1037	1094	1839	2909
peak320	115	17	480	66	305	347	287	591
peak321	218	146	2281	669	785	756	1905	3108
peak322	66	0	744	627	366	326	867	1249
peak323	225	19	1146	373	500	491	1353	2640
peak324	365	71	1831	579	582	589	2155	4237
peak325	84	2	310	66	177	204	689	958
peak326	203	14	1445	535	443	458	1404	2812
peak327	118	14	719	157	286	280	808	1768
peak328	67	1	831	374	220	283	629	1220
peak329	105	0	669	159	98	145	449	697
peak330	19	0	229	160	97	116	249	327
peak331	79	8	748	122	157	216	726	1426
peak332	69	42	533	258	207	225	326	551
peak333	246	167	936	375	610	696	967	1576
peak334	316	132	1833	884	976	1158	1716	2638
peak335	791	254	15417	5645	2154	2450	17470	26576
peak336	56	10	146	2	59	59	198	291
peak337	425	179	3778	1272	545	618	1607	2363
peak338	187	57	419	301	194	250	380	830
peak339	57	16	280	43	68	107	337	452
peak340	26141	5937	47209	23261	20511	27355	21984	45209
peak341	9523	1964	45022	27993	9925	12596	23100	51234
peak342	183	79	1436	780	1151	1079	1436	3505
peak343	82	23	769	390	248	283	440	919
peak344	170	75	1078	597	228	294	1102	1908
peak345	38	31	330	128	102	98	101	319
peak346	2660	766	2874	1581	8104	10543	4804	10490
peak347	689	137	1114	714	1277	1502	1335	2460
peak348	158	52	2270	1952	100	129	626	1195
peak349	489	130	631	196	1179	1564	1128	2405
peak350	352	105	1513	912	1026	1536	2794	4079
peak351	311	31	1219	586	833	985	1393	2486
peak352	202	122	1125	581	1136	1440	639	1440
peak353	98	22	455	167	171	181	277	463
peak354	115	43	780	486	315	358	711	1071
peak355	73	52	495	173	133	163	310	527
peak356	1733	323	3308	2138	1769	2260	3442	5504
peak357	2733	507	4178	2856	3928	4947	3196	7370
peak358	17	28	206	65	55	89	120	260
peak359	16	15	221	86	85	85	266	376
peak360	116	0	1176	863	82	59	268	631
peak361	50	0	178	104	18	51	83	69
peak362	69	0	223	146	30	23	103	150
peak363	747	137	2059	969	1291	1432	1368	2951
peak364	152	27	335	355	377	492	393	1004
peak365	657	20	662	464	874	1106	1052	1841
peak366	1767	408	6786	3413	5647	7272	10252	17410
peak367	0	0	34	0	45	31	186	266
peak368	4	0	43	1	86	118	195	343
peak369	136	26	724	483	270	343	369	1005
peak370	192	46	1022	529	578	566	1028	2135
peak371	1315	459	3877	2320	3906	4561	4785	9980
peak372	210	12	577	493	157	178	486	1128
peak373	91	0	416	333	111	128	357	654
peak374	261	73	3046	1171	551	798	2957	5053
peak375	353	75	2435	1440	459	514	849	1899
peak376	36	0	390	174	66	119	190	386
peak377	175	26	1948	1132	603	612	1700	3326
peak378	152	129	875	420	561	621	413	905
peak379	86	1	1621	1292	123	168	813	1895
peak380	49	37	689	424	52	50	320	537
peak381	37	15	219	106	90	85	142	268
peak382	45	12	325	360	95	110	218	346
peak383	56	60	361	220	138	181	355	580
peak384	249	59	3236	1324	467	708	2534	4800
peak385	426	67	2047	783	982	1069	2492	4130
peak386	134	4	862	289	236	320	728	1879
peak387	346	67	2742	1087	415	471	1483	2817
peak388	182	8	878	337	331	324	472	836
peak389	20	168	424	119	275	364	201	481
peak390	156	21	681	407	257	394	436	944
peak391	78	7	648	416	144	184	431	811
peak392	376	74	2341	1270	574	755	1739	3510
peak393	114	46	491	200	165	190	475	683
peak394	144	16	969	513	433	442	669	1072
peak395	252	32	2830	2269	460	488	3462	5637
peak396	184	33	1862	284	437	551	1820	2980
peak397	25	0	269	180	48	44	90	519
peak398	0	0	127	0	105	137	738	1243
peak399	49	23	562	534	107	129	593	1135
peak400	153	0	1149	1037	366	545	1172	2577
peak401	150	21	508	258	82	126	232	667
peak402	7	1	456	208	107	86	261	777
peak403	1278	374	3759	2723	1785	2012	1501	3242
peak404	573	56	1250	1100	416	642	755	1709
peak405	538	208	1238	699	591	768	649	1660
peak406	326	60	2080	1463	262	340	898	1572
peak407	397	213	1525	1014	940	1067	1610	2668
peak408	327	363	2035	1373	909	1178	1803	3495
peak409	670	346	5836	3925	1375	1816	4552	9919
peak410	1024	446	10496	5846	1898	2499	7389	16569
peak411	228	18	574	688	185	278	399	1060
peak412	105	0	835	581	203	282	549	1384
peak413	172	24	863	613	160	214	870	1162
peak414	187	0	729	465	363	428	732	1477
peak415	707	142	1532	518	763	1191	1486	2321
peak416	19	0	421	423	31	46	94	230
peak417	12	0	285	299	17	29	114	304
peak418	21	35	572	432	38	74	184	420
peak419	36	58	223	256	29	25	180	185
peak420	8	34	259	332	24	27	164	308
peak421	15	24	496	545	40	57	304	459
peak422	189	106	1238	667	691	876	1337	3051
peak423	221	89	1020	686	448	643	941	2034
peak424	61	1	264	77	78	104	290	486
peak425	19	0	17	0	36	48	173	269
peak426	140	55	433	206	286	430	298	667
peak427	1244	533	2347	1441	3632	4179	2336	5473
peak428	331	24	1066	316	658	808	993	2159
peak429	76	23	751	737	113	166	677	1364
peak430	587	111	877	461	613	771	644	1343
peak431	351	38	1411	773	1622	2221	1202	2354
peak432	224	67	595	373	575	642	764	1420
peak433	125	2	1009	181	235	287	1093	1829
peak434	14	21	285	325	223	274	933	1772
peak435	27	0	196	118	372	321	943	1526
peak436	0	0	36	0	12	17	158	136
peak437	51	24	402	245	110	123	399	770
peak438	1028	224	7553	2942	2465	2982	8717	16927
peak439	66	14	491	253	121	150	178	214
peak440	200	28	1561	866	178	234	491	1058
peak441	396	185	2936	1329	445	490	1270	2236
peak442	1233	184	8087	3170	1553	1865	3981	7509
peak443	259	25	547	511	272	362	836	1461
peak444	16	0	443	258	77	124	279	840
peak445	85	14	908	476	190	241	519	1060
peak446	2219	266	9566	4359	2445	3307	5648	10768
peak447	1156	467	16604	6714	2029	2382	9270	16160
peak448	115	14	623	180	109	153	352	817
peak449	3661	959	12460	6034	2362	3030	5927	10147
peak450	3397	504	12061	6592	1837	2355	6575	11530
peak451	12751	2284	64102	25795	11155	15041	35443	67115
peak452	18484	3766	108039	73699	16861	18358	50340	113771
peak453	37	43	552	430	272	239	518	901
peak454	33	0	252	59	23	39	204	458
peak455	15	2	190	46	17	32	49	288
peak456	30	4	231	60	58	82	183	528
peak457	34	0	334	112	113	151	365	813
peak458	77	0	601	436	183	216	522	1074
peak459	54	0	397	172	154	193	122	327
peak460	163	12	712	822	396	469	1302	2523
peak461	136	26	443	321	295	322	673	1325
peak462	108	20	494	355	333	433	805	1448
peak463	122	0	361	349	203	244	482	1022
peak464	118	66	689	438	207	342	641	1246
peak465	75	8	441	231	53	123	415	906
peak466	117	0	822	820	165	177	498	1079
peak467	45	25	689	114	79	110	687	1348
peak468	232	41	1457	1101	196	245	393	942
peak469	114	14	1381	720	139	169	625	1170
peak470	165	60	1489	1370	154	214	437	813
peak471	993	299	12348	8215	2233	2768	10889	21685
peak472	35	0	434	85	123	181	496	916
peak473	87	16	463	210	184	226	323	900
peak474	20	0	240	170	70	102	195	349
peak475	48	0	212	127	98	91	269	318
peak476	23	0	181	67	60	71	127	233
peak477	40	0	739	508	16	28	158	349
peak478	932	529	8805	4428	1081	1414	2340	4152
peak479	325	20	983	412	437	527	866	1302
peak480	242	58	2588	1217	599	751	1725	3827
peak481	533	26	1182	344	303	342	729	1060
peak482	40	28	631	453	78	85	855	1372
peak483	28	1	292	5	65	99	338	665
peak484	14	0	366	181	97	120	551	861
peak485	806	167	1952	955	2157	2447	1674	3720
peak486	263	95	1627	1108	432	501	992	2258
peak487	22	53	468	281	80	135	235	690
peak488	832	276	6418	3640	1090	1294	1589	3997
peak489	546	161	2807	1297	1191	1657	2719	5577
peak490	579	112	1983	1061	1414	1883	1982	4037
peak491	260	125	1372	661	862	987	1065	1895
peak492	7	0	638	214	15	22	195	480
peak493	417	80	6245	3256	973	1355	6609	12398
peak494	115	99	1108	878	210	367	401	1063
peak495	7	0	103	24	54	25	187	199
peak496	16	0	296	91	101	124	255	522
peak497	26	0	249	165	82	100	344	782
peak498	78	6	759	294	253	347	1078	2242
peak499	133	15	778	495	175	272	671	1217
peak500	232	41	1804	830	560	764	1183	2250
peak501	2297	227	3624	2149	2790	3457	2955	7517
peak502	719	256	591	845	902	1125	423	1300
peak503	51	0	407	298	99	141	307	592
peak504	6	0	87	25	45	38	317	468
peak505	104	0	481	115	88	117	253	523
peak506	24	27	249	114	39	74	161	209
peak507	12	0	302	75	36	38	156	209
peak508	77	0	1131	425	234	223	1085	1845
peak509	63	29	405	224	258	290	308	522
peak510	24	0	159	59	75	105	79	178
peak511	131	36	491	173	32	29	99	204
peak512	137	40	3640	1795	81	101	464	989
peak513	21	0	201	233	40	58	200	549
peak514	78	41	677	290	192	271	468	902
peak515	190	40	571	380	247	358	594	989
peak516	366	109	2190	1217	636	737	2681	4861
peak517	39	0	561	523	212	237	584	1480
peak518	985	213	2219	1344	1033	1374	2114	3233
peak519	140	37	513	567	329	420	783	1762
peak520	90	9	1462	954	463	536	1495	3364
peak521	229	5	871	215	635	812	877	1616
peak522	4275	1063	4319	2043	15584	16423	4916	10086
peak523	78	0	535	131	399	562	695	1320
peak524	379	57	867	618	373	521	951	1444
peak525	18	0	514	285	5	0	0	15
peak526	35	12	386	235	7	3	19	18
peak527	43	0	511	196	26	56	85	172
peak528	31	17	189	17	59	59	92	172
peak529	16	0	223	162	626	811	1664	4251
peak530	320	137	8511	5227	211	255	1700	3167
peak531	379	34	5937	2433	906	1095	5415	9097
peak532	577	350	2528	1476	4092	4182	3204	6126
peak533	226	5	1146	383	1982	2109	8612	11794
peak534	387	26	720	407	158	278	749	1203
peak535	661	103	1565	925	415	545	1569	3196
peak536	11	0	99	120	13	9	310	414
peak537	3789	1022	17950	9906	7736	8940	13778	26461
peak538	83	0	273	210	40	69	154	210
peak539	323	85	1177	790	764	963	1368	2650
peak540	133	69	856	488	254	328	877	1146
peak541	64	10	334	259	194	221	440	756
peak542	102	58	626	365	346	347	797	1924
peak543	222	109	823	684	714	874	773	1632
peak544	13	0	309	252	47	64	238	379
peak545	9	40	205	83	60	75	184	207
peak546	57	43	807	338	237	301	528	963
peak547	43	17	472	254	64	49	396	782
peak548	387	171	1987	943	1396	1538	2448	4210
peak549	622	143	3216	1930	2446	2457	4954	8761
peak550	1317	110	727	520	2290	2947	1813	3406
peak551	318	54	3547	2697	1008	1545	5078	9760
peak552	278	86	1161	664	657	933	1481	2486
peak553	635	74	611	341	372	463	776	1505
peak554	1461	225	4010	3431	3618	4488	4548	8934
peak555	9	0	379	180	98	184	518	938
peak556	239	60	1244	363	1445	1602	1542	3537
peak557	339	137	6368	2964	787	1018	5131	9289
peak558	172	92	1485	456	305	334	1395	2650
peak559	224	27	1676	668	501	578	1764	2830
peak560	9	40	272	186	74	75	222	519
peak561	12	0	200	35	55	97	143	208
peak562	22	0	279	91	84	110	205	408
peak563	30	34	650	245	60	94	558	771
peak564	1482	100	3291	1182	1636	1947	3821	5501
peak565	1332	335	15421	6167	4656	5727	24244	39634
peak566	1718	501	3858	1436	4046	4636	3315	5950
peak567	1487	368	2924	1511	2392	2838	2484	4669
peak568	24	0	173	163	82	90	232	361
peak569	1237	347	4165	2043	1676	1809	2302	5402
peak570	361	31	692	549	376	504	600	1138
peak571	340	119	1024	517	454	651	763	1854
peak572	362	250	1028	601	445	629	905	2162
peak573	1778	399	4084	2676	3992	5333	5176	9942
peak574	45	1	908	261	148	176	682	1064
peak575	79	0	897	503	262	358	656	1306
peak576	387	79	1609	950	703	804	1646	2960
peak577	716	239	953	499	1792	2062	1303	2456
peak578	992	294	3244	2502	4537	5705	5252	11589
peak579	80	12	372	30	297	277	184	726
peak580	35	11	321	67	111	154	374	674
peak581	217	61	1371	566	435	428	1890	2834
peak582	22	41	269	186	153	155	242	451
peak583	934	216	5058	2120	2811	3333	4293	9413
peak584	258	98	2026	1217	1182	1494	3057	6294
peak585	733	113	2030	1451	2734	2884	2113	4760
peak586	6374	1897	18390	11578	10259	10617	10890	21682
peak587	1307	283	1426	687	1471	1517	673	1507
peak588	69	1	81	12	1436	2104	1247	2564
peak589	71	3	265	108	1947	2714	7125	14656
peak590	4127	697	2995	1760	6112	7253	4126	7834
peak591	1003	289	664	434	1214	1164	883	1385
peak592	5925	1008	5260	2664	17162	21882	10345	18737
peak593	23	6	445	139	94	105	345	450
peak594	14	0	129	139	43	75	107	218
peak595	464	152	1792	1097	710	881	1454	2717
peak596	1530	119	1199	449	553	711	1314	2139
peak597	1827	177	6670	4381	1258	1600	5185	9782
peak598	265	60	1087	495	717	903	1108	1888
peak599	3376	436	2941	1127	3981	5481	2735	5391
peak600	284	107	1038	689	526	543	914	1421
peak601	580	96	2179	944	1099	1272	2790	4166
peak602	210	90	1120	522	918	1025	1045	1989
peak603	420	121	594	350	928	1282	1234	2228
peak604	1255	262	3398	3025	483	557	1246	2183
peak605	1169	190	5013	3261	1350	1598	3516	6866
peak606	300	24	965	799	275	339	828	1394
peak607	2615	378	4891	3586	3520	4237	3066	6848
peak608	162	69	422	411	201	272	493	832
peak609	156	88	535	363	715	808	407	872
peak610	67	0	323	100	111	136	565	976
peak611	17	23	209	36	75	119	118	230
peak612	97	45	793	398	254	346	589	975
peak613	1144	389	23699	9161	3479	4240	14232	25935
peak614	106	33	2014	1608	156	250	1433	2668
peak615	15	0	266	181	75	76	206	282
peak616	336	72	832	417	658	826	1541	2719
