control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak82	912	626	1360	760	267	275	293	335
peak83	469	357	574	376	170	173	256	324
peak84	97	93	135	130	58	68	127	167
peak85	366	263	255	219	115	115	110	164
peak86	195	189	232	219	91	88	124	163
peak87	429	267	502	247	166	163	147	180
peak88	2925	1887	2973	1647	863	767	790	903
peak89	233	152	418	351	101	104	212	293
peak90	298	230	514	258	163	143	162	235
peak91	427	312	445	218	172	174	194	237
peak92	2978	1963	3813	1764	507	547	679	781
peak93	1122	717	1326	611	461	497	529	608
peak94	1462	863	1512	634	769	737	679	861
peak95	1079	708	513	525	370	361	305	371
peak96	1994	1301	1900	983	696	638	578	742
peak97	450	325	572	282	173	183	211	217
peak98	620	443	1118	486	244	243	278	345
peak99	705	554	736	520	251	251	308	307
peak100	652	389	1004	480	197	157	218	249
peak101	2773	1769	1536	1727	830	769	860	1076
peak102	737	499	1535	597	427	398	425	475
peak103	1478	1003	1185	1154	535	522	648	801
peak104	1357	900	1946	1097	543	489	525	758
peak105	974	651	1617	702	406	427	401	468
peak106	659	443	671	418	283	345	287	365
peak107	404	321	402	288	135	165	199	186
peak108	249	145	205	220	93	75	155	186
peak109	373	267	385	315	152	158	238	277
peak110	916	592	1267	470	305	302	301	313
peak111	338	237	495	232	102	100	113	148
peak112	205	161	246	161	74	72	111	113
peak113	760	503	823	455	267	335	326	394
peak114	2292	1559	1989	1072	981	885	946	1113
peak115	352	216	346	228	149	175	116	168
peak116	834	561	1141	468	349	352	444	478
peak117	2093	1774	2466	2137	764	943	1364	1704
peak118	5087	3421	4714	2024	1544	1662	1559	1742
peak119	3262	2181	2454	1395	969	1113	893	1088
peak120	134	96	195	229	55	66	176	254
peak121	219	181	403	196	164	148	154	207
peak122	6409	4222	7765	5752	1580	1595	2109	2633
peak123	3073	2202	1885	1220	910	989	900	1064
peak124	2484	1449	2559	1868	974	866	1269	1398
peak125	1733	1254	1218	1307	579	563	576	905
peak126	1479	1012	1487	584	713	821	618	825
peak127	4439	3052	3433	2298	683	680	685	851
peak128	1261	857	963	453	190	189	166	147
peak129	1018	674	1647	1086	350	370	414	555
peak130	927	593	1888	792	344	356	529	587
peak131	1405	1078	832	847	623	691	632	814
peak132	2613	1992	2726	1818	1355	1420	1774	2243
peak133	822	531	968	613	368	319	323	457
peak134	1638	982	1534	692	503	438	393	483
peak135	387	231	735	337	143	111	164	211
peak136	167	167	485	378	86	84	282	365
peak137	3304	2271	3425	2605	1979	2178	2051	3092
peak138	3366	2451	2311	2134	1164	1173	963	1098
peak139	103	69	133	67	27	23	34	41
peak140	162	108	337	217	74	63	92	107
peak141	847	564	821	555	189	235	289	322
