control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak185	113	132	689	402	45	81	156	431
peak186	330	529	1566	2177	172	211	287	593
peak187	753	1153	6768	6637	264	309	1224	2088
peak188	18	8	527	530	1	4	0	68
peak189	717	1075	2963	3334	540	705	1149	2780
peak190	401	544	2999	2742	309	407	1111	2910
peak191	326	415	1895	1149	226	233	439	743
peak192	393	396	1022	1017	453	564	531	1151
peak193	890	836	3566	1498	663	976	1736	2127
peak194	184	269	1257	1479	123	104	395	924
peak195	34	54	554	344	47	45	161	65
peak196	488	814	4930	5475	276	384	1530	2135
peak197	207	346	324	995	130	165	242	191
peak198	69	103	503	107	126	32	155	26
peak199	205	266	487	610	161	138	281	138
peak200	878	1754	1920	1502	743	895	396	1118
peak201	142	690	159	1276	28	15	62	54
peak202	26	124	194	514	16	0	37	0
peak203	238	513	2195	2527	256	321	1206	1652
peak204	123	487	856	2343	86	75	565	298
peak205	367	474	924	634	432	243	253	616
peak206	251	380	777	1093	303	184	737	796
peak207	721	1013	3479	3711	890	521	1935	1229
peak208	88	85	222	215	249	320	408	1537
peak209	1432	999	4143	1244	1979	1295	2457	1937
peak210	130	484	2458	4199	148	134	1218	1608
peak211	240	256	865	703	137	105	190	348
peak212	161	190	620	1068	94	80	259	494
peak213	106	129	997	451	51	46	267	280
peak214	79	94	758	376	31	25	188	125
peak215	79	123	453	398	367	358	1225	1478
peak216	234	282	1059	1480	874	733	2819	3488
peak217	101	114	694	735	416	387	2377	1697
peak218	106	248	120	655	81	118	146	116
peak219	362	828	2734	4720	224	404	1012	2305
peak220	254	609	795	1501	153	214	429	630
peak221	1509	2380	4951	4596	872	1424	1261	2941
peak222	651	3233	583	1404	378	216	280	143
peak223	19	120	398	686	26	73	225	319
peak224	337	634	806	1243	245	371	288	581
peak225	166	388	456	784	150	211	119	234
peak226	140	247	377	902	107	123	351	364
peak227	308	959	1139	2166	412	429	541	1097
peak228	169	186	627	578	89	99	220	364
peak229	124	189	331	381	70	62	193	106
peak230	303	896	395	1273	138	345	196	283
peak231	76	159	634	1132	90	52	414	508
peak232	547	1852	3842	10765	457	758	2885	5536
peak233	95	232	458	1003	119	134	536	558
peak234	317	561	1544	1797	335	446	1092	1679
peak235	103	141	631	384	122	169	195	416
peak236	86	141	880	870	99	109	414	1028
peak237	366	275	1654	1238	230	351	428	978
peak238	910	789	2937	1607	570	654	689	1272
peak239	11	45	372	329	20	15	78	80
peak240	175	234	649	944	106	76	160	56
peak241	534	569	3497	2973	265	246	986	1648
peak242	48	110	1424	2103	18	33	268	768
peak243	6	19	0	567	2	6	0	111
peak244	1078	3141	2622	4798	1225	813	1321	1978
peak245	1026	2527	1939	3315	1047	721	1936	1004
peak246	809	820	2111	1285	559	755	802	1890
peak247	238	316	1953	1817	159	222	805	814
peak248	1194	1354	4933	5236	591	1213	1507	4164
peak249	613	660	1472	1229	232	301	202	755
peak250	1088	1301	6550	4800	466	411	657	2419
peak251	262	382	2276	2883	182	241	863	976
peak252	1192	2202	4026	5767	739	984	1252	2712
peak253	539	958	1222	1615	301	423	297	1095
peak254	540	964	437	1326	272	308	173	312
peak255	416	664	1829	1744	231	256	553	983
peak256	812	1283	9218	9680	546	525	3268	4142
peak257	82	26	473	41	9	28	56	81
peak258	531	1130	938	1396	362	328	344	427
peak259	270	668	603	1154	151	158	268	362
peak260	260	406	2988	3854	130	136	1210	1072
peak261	1227	1500	3416	2343	925	873	1061	1678
peak262	1007	2904	1560	2201	876	733	487	503
peak263	894	2624	269	1242	607	681	88	347
peak264	232	508	1394	1075	133	109	426	174
peak265	175	426	923	706	115	136	588	283
peak266	534	780	1036	1280	262	235	362	664
peak267	339	457	925	555	299	206	429	411
peak268	374	263	2014	952	276	429	533	2915
peak269	129	103	667	167	145	176	71	476
peak270	170	123	844	610	146	248	364	1318
peak271	194	170	1342	633	160	234	500	1718
peak272	401	264	3432	2059	345	536	1665	4167
peak273	441	305	2448	1276	309	515	1174	3291
peak274	510	367	2493	1782	480	712	876	3049
peak275	159	108	313	196	127	187	275	637
peak276	24	17	380	146	22	44	150	736
peak277	33	114	316	911	28	30	112	333
peak278	327	924	1039	2588	285	297	431	609
peak279	107	160	618	326	91	108	281	121
