control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak251	306	15	326	2904	1635	1396	103	36	19	83	61	54
peak252	314	33	383	929	622	531	75	30	25	38	40	21
peak253	375	49	415	912	620	795	46	22	9	18	20	9
peak254	532	43	749	5878	8483	6493	461	170	124	421	409	228
peak255	2	0	1	32	81	51	1	0	0	1	1	0
peak256	54	7	79	134	151	171	23	4	4	6	6	3
peak257	192	14	228	787	1230	842	82	22	28	25	28	12
peak258	518	52	695	3461	3421	2705	236	82	50	177	198	95
peak259	62	2	75	460	638	493	78	30	16	99	101	67
peak260	46	5	64	154	268	179	71	25	14	39	39	32
peak261	147	12	257	342	128	243	142	56	29	55	51	17
peak262	17	1	19	81	32	34	8	2	2	4	4	2
peak263	152	5	160	863	330	380	81	27	14	41	37	27
peak264	243	19	364	1788	1294	1371	201	55	37	156	119	63
peak265	707	62	811	3252	5046	2765	135	32	28	98	107	43
peak266	176	10	222	623	632	457	37	13	5	23	29	10
peak267	580	63	647	4587	7463	3636	132	35	28	84	70	45
peak268	19	3	29	97	175	98	15	4	5	17	17	16
peak269	2	0	0	33	54	63	4	0	1	6	2	3
peak270	26	0	41	146	118	98	56	8	10	35	15	15
peak271	122	9	77	630	520	254	5	4	1	12	13	7
peak272	56	7	47	152	104	96	11	1	3	8	8	2
peak273	36	2	48	487	562	467	38	7	8	35	37	19
peak274	22	0	34	72	82	95	35	5	8	16	18	9
peak275	18	0	28	84	68	54	33	10	5	24	29	15
peak276	13	0	18	60	92	54	18	8	4	8	3	1
peak277	27	1	30	227	386	242	31	12	4	31	30	15
peak278	30	4	51	266	273	215	38	11	9	29	29	23
peak279	31	3	44	86	119	101	18	8	9	10	18	6
peak280	48	2	65	316	370	332	54	12	15	36	44	26
peak281	36	1	43	407	505	446	33	8	4	27	45	27
peak282	18	1	17	97	80	53	20	5	0	15	19	12
peak283	49	10	111	332	581	421	162	43	38	62	79	36
peak284	42	5	76	740	1229	842	66	23	20	66	56	30
peak285	25	8	76	9	39	74	77	10	10	13	18	7
peak286	53	9	97	112	85	80	95	30	24	21	28	14
peak287	4	1	9	107	102	76	11	3	3	11	16	11
peak288	63	6	107	219	236	224	98	23	19	44	41	24
peak289	34	4	53	112	162	131	60	11	16	23	27	9
peak290	53	5	106	775	1233	773	94	26	19	100	115	38
peak291	61	7	100	612	671	505	114	27	26	120	101	48
peak292	37	7	57	129	79	99	77	17	10	38	44	13
peak293	43	2	75	233	297	204	75	24	16	34	46	23
peak294	83	8	131	555	392	365	194	52	36	147	101	61
peak295	525	39	697	5147	4218	3744	1128	305	224	855	707	387
peak296	52	5	84	55	18	42	154	40	22	60	46	41
peak297	17	0	17	444	618	438	55	18	12	111	88	40
peak298	11	0	7	44	32	48	24	5	10	19	26	9
peak299	11	1	10	56	46	69	20	5	8	15	37	7
peak300	10	1	11	112	117	136	33	9	4	49	51	17
peak301	2	0	0	55	38	16	5	3	0	13	8	3
peak302	129	7	157	2354	1981	1459	236	62	47	298	249	158
peak303	40	3	35	186	91	111	58	17	20	27	29	17
peak304	60	2	53	609	624	425	86	24	19	87	67	42
peak305	47	6	57	102	115	98	96	32	23	49	55	25
peak306	108	2	192	1223	1052	1439	76	33	23	52	41	38
peak307	23	0	29	38	32	38	79	13	17	48	36	31
peak308	13	3	36	115	68	89	148	36	24	68	66	39
peak309	96	10	119	558	236	295	169	51	35	134	122	74
peak310	84	6	137	143	41	90	208	58	43	83	78	47
peak311	24	1	19	288	421	236	32	5	14	39	33	19
peak312	61	3	65	324	123	169	22	10	3	13	24	12
peak313	110	6	108	396	318	197	37	13	10	10	23	15
peak314	177	12	94	1195	538	428	41	14	6	30	27	14
peak315	13	0	16	64	55	26	18	2	5	8	9	4
peak316	793	79	1584	6009	9285	8029	860	258	225	1366	1468	628
peak317	253	22	462	409	127	323	404	97	83	77	101	47
peak318	742	60	1342	1288	480	913	945	233	188	301	302	154
peak319	47	3	44	116	154	104	35	5	5	17	14	9
peak320	62	7	102	388	604	345	79	14	18	48	51	20
peak321	45	5	78	713	347	555	109	28	20	110	84	78
peak322	99	11	167	899	673	787	119	37	20	122	91	95
peak323	110	9	174	1162	826	994	105	36	31	155	116	103
peak324	155	13	194	536	439	547	281	87	71	140	130	75
peak325	149	16	224	445	307	324	86	42	31	24	22	18
peak326	192	12	233	950	511	634	109	54	25	61	45	38
peak327	28	1	35	160	56	116	113	26	16	48	29	19
peak328	66	1	59	1178	557	785	246	68	40	243	180	141
peak329	59	5	48	258	110	132	175	52	31	68	58	31
peak330	16	0	20	304	106	122	41	9	5	20	13	7
peak331	78	8	87	653	731	587	61	29	21	57	67	47
peak332	10	0	15	52	219	148	1	0	1	7	5	3
peak333	9	0	19	91	166	118	8	4	1	3	6	2
peak334	240	19	339	896	1876	968	59	18	17	31	34	18
peak335	3	4	7	57	70	74	11	3	8	12	16	7
peak336	146	22	274	1506	1281	1360	368	155	91	315	300	193
peak337	280	32	299	1911	2221	1682	211	66	59	179	179	99
peak338	299	16	337	1254	963	959	1085	287	230	941	774	507
peak339	256	22	390	564	422	602	928	273	215	595	624	352
peak340	37	1	25	752	742	435	50	12	13	52	60	30
peak341	2	0	16	112	250	126	0	0	0	2	0	0
peak342	1	1	6	82	118	67	0	0	0	0	0	0
peak343	3	0	8	201	256	262	37	8	10	63	54	34
peak344	97	12	131	796	1133	764	334	99	88	311	324	171
peak345	5	1	4	63	58	18	20	4	7	11	21	11
peak346	1392	178	2418	1855	1917	2204	629	158	174	234	237	106
peak347	35	1	42	357	231	253	72	23	14	117	74	41
peak348	33	0	39	226	234	214	72	14	16	39	46	19
peak349	104	3	125	1312	2590	1188	148	37	42	185	219	83
peak350	61	4	47	120	80	69	80	24	14	44	36	24
peak351	299	38	551	1838	2565	2032	295	94	89	219	235	114
peak352	11	1	13	129	126	104	53	9	10	68	66	38
peak353	40	2	32	236	454	311	44	10	6	46	39	8
peak354	24	3	17	36	21	46	31	11	6	14	10	14
peak355	278	18	207	3556	3313	2026	250	52	50	371	323	148
peak356	8	3	11	104	248	137	8	2	0	8	5	6
peak357	30	6	51	180	143	154	29	6	11	14	6	4
peak358	39	4	51	300	333	296	19	6	3	17	19	9
peak359	101	11	167	284	360	286	133	35	46	72	58	33
peak360	17	1	18	121	118	49	30	8	4	18	22	12
peak361	28	2	30	495	701	421	52	16	12	67	65	34
peak362	211	20	364	954	840	997	343	106	89	300	347	154
peak363	129	8	138	440	428	402	174	38	34	165	188	88
peak364	316	26	639	706	825	834	48	12	16	23	19	5
peak365	570	77	1164	2140	1941	2329	103	38	17	38	42	20
peak366	99	11	222	559	1252	805	19	10	5	14	5	5
peak367	2	0	1	25	12	12	58	17	12	85	69	54
peak368	12	0	8	72	69	49	202	60	75	288	331	170
peak369	7	1	11	63	36	29	184	58	51	185	259	107
peak370	120	7	107	497	306	200	28	7	5	13	13	10
peak371	109	5	93	310	432	190	24	14	12	14	13	9
peak372	33	6	55	20	13	16	96	34	7	30	33	18
peak373	10	1	12	124	64	69	9	0	2	21	14	6
peak374	77	9	121	204	266	143	65	28	32	27	21	15
peak375	27	1	19	70	53	26	11	3	1	7	5	2
peak376	5	1	13	66	122	71	11	5	1	5	10	4
peak377	88	9	78	161	137	83	41	10	15	26	16	10
peak378	34	2	42	277	307	153	47	8	10	28	32	18
peak379	205	17	173	2417	2924	1640	170	36	38	185	157	116
peak380	96	6	68	752	772	494	48	26	16	62	59	35
peak381	22	2	12	111	107	80	9	1	3	16	12	12
peak382	14	0	19	61	29	31	0	0	0	0	1	0
peak383	3579	338	5600	2379	1780	2454	2144	687	443	612	579	306
peak384	1847	154	2609	425	181	445	824	261	237	46	69	25
peak385	79	3	131	30	9	34	221	67	63	93	105	45
peak386	57	3	82	191	150	176	125	30	22	74	88	42
peak387	54	6	80	206	217	167	90	20	25	59	78	51
peak388	101	6	155	834	1127	852	225	56	59	234	276	124
peak389	73	9	140	1034	2805	1617	14	2	0	6	9	4
peak390	60	3	72	149	66	161	2	2	1	1	1	0
peak391	185	11	302	2744	2915	2583	21	5	2	11	15	4
peak392	148	24	159	612	981	638	115	30	32	54	85	23
peak393	128	7	152	726	829	582	99	28	21	91	81	30
peak394	21	3	28	160	139	95	20	8	3	14	16	6
peak395	17	0	45	43	23	59	95	32	10	66	41	43
peak396	37	1	85	102	23	101	151	35	23	76	58	63
peak397	86	11	187	473	394	513	224	63	42	224	160	123
peak398	400	60	567	1974	1882	2224	868	319	200	1089	1129	583
peak399	124	24	138	500	807	381	151	40	33	84	80	50
peak400	103	14	185	1557	1744	1500	53	24	12	64	72	55
peak401	66	3	88	680	426	385	3	1	2	4	1	2
peak402	130	9	118	540	400	351	35	12	10	27	28	13
peak403	148	6	125	529	326	350	28	8	6	22	14	10
peak404	153	16	128	635	411	315	16	5	6	8	13	6
peak405	68	11	106	162	188	170	120	31	28	33	45	25
peak406	107	8	149	535	429	410	173	51	31	134	90	50
peak407	33	3	41	116	66	53	91	44	19	39	41	26
peak408	36	3	78	407	233	331	260	101	61	140	143	104
peak409	66	5	70	924	927	592	105	40	31	129	117	58
peak410	12	0	12	261	145	167	20	12	9	32	18	7
peak411	172	13	186	741	530	453	572	154	135	331	354	229
peak412	317	15	372	7279	6174	5797	999	260	220	1776	1524	870
peak413	51	3	72	986	431	478	241	50	48	184	145	108
peak414	7	0	17	291	277	231	51	15	11	118	95	57
peak415	48	3	83	871	1861	1084	95	30	19	82	86	51
peak416	17	1	29	45	130	124	19	5	3	9	23	3
peak417	94	10	120	267	163	198	77	30	16	27	16	9
peak418	125	13	213	408	319	366	130	53	27	47	49	25
peak419	217	7	276	1652	1318	1359	240	59	44	249	205	115
peak420	5	0	1	71	62	50	2	2	1	7	6	5
peak421	15	1	11	50	95	61	1	1	0	2	1	0
peak422	101	7	138	383	413	244	21	7	7	13	15	2
peak423	493	52	606	3352	5102	3151	86	26	16	75	65	34
peak424	180	15	252	1877	2688	1658	34	14	4	27	29	15
peak425	280	24	412	1189	1738	1333	63	8	17	23	22	13
peak426	97	4	123	193	142	194	106	35	18	57	52	37
peak427	17	0	33	92	16	46	72	12	21	64	42	38
peak428	0	0	5	33	92	72	1	0	0	1	2	0
peak429	53	1	75	487	174	250	165	52	33	223	171	134
peak430	52	5	75	112	54	100	121	51	33	71	70	34
peak431	186	16	287	917	1170	828	349	126	96	193	222	128
peak432	3	1	13	35	182	131	1	2	0	2	6	1
peak433	55	6	63	749	951	792	22	8	3	21	23	9
peak434	34	2	34	123	160	94	11	1	4	3	6	1
peak435	76	3	99	565	904	589	28	14	8	24	16	13
peak436	387	21	462	1814	1023	809	560	151	121	267	247	121
peak437	142	13	177	241	49	142	206	63	33	76	65	42
peak438	71	6	96	1164	1105	807	89	28	26	222	218	115
peak439	171	0	171	1395	1909	959	155	43	40	136	145	63
peak440	77	2	63	272	176	139	48	14	10	31	25	14
peak441	99	4	75	470	397	348	83	11	23	50	54	36
peak442	87	2	65	452	421	329	71	20	22	54	63	36
peak443	85	8	111	88	34	64	84	24	22	42	60	32
peak444	42	1	45	161	76	116	39	6	12	32	25	12
peak445	24	0	19	522	447	296	31	13	3	42	41	22
peak446	153	10	163	3203	4193	2220	139	40	53	189	221	104
peak447	26	1	37	450	738	469	66	21	19	88	101	68
peak448	92	9	127	222	148	122	302	63	54	92	75	48
peak449	17	0	36	106	177	143	4	1	4	7	4	3
peak450	11	1	29	82	147	67	0	1	2	4	1	2
