control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak206	368	377	355	916	1633	798	596	499	797	1206	1853	2003
peak207	111	114	174	287	503	262	237	179	270	350	550	567
peak208	124	119	130	299	564	314	224	176	269	351	508	600
peak209	98	112	202	526	828	422	236	166	254	901	1467	1738
peak210	36	33	46	79	159	84	40	38	40	94	129	91
peak211	2	4	5	19	15	6	44	15	39	108	124	133
peak212	13	7	7	14	23	12	41	29	37	85	85	84
peak213	81	63	68	205	313	157	52	24	47	142	138	126
peak214	51	27	50	104	136	48	24	17	23	58	36	61
peak215	98	95	98	404	657	351	60	69	74	313	417	432
peak216	57	48	54	172	300	147	45	33	45	105	199	153
peak217	40	46	30	85	135	56	29	19	32	57	73	57
peak218	940	812	943	2653	4034	1831	1226	859	1271	2998	3695	3899
peak219	250	185	175	451	676	373	338	223	338	549	753	730
peak220	119	120	180	258	377	224	185	144	206	289	460	294
peak221	77	70	109	186	227	149	57	42	42	92	115	131
peak222	51	40	53	83	98	55	41	25	40	57	81	69
peak223	62	58	78	160	158	78	62	42	62	113	134	152
peak224	31	23	41	109	82	66	38	23	35	61	92	79
peak225	45	38	52	117	101	86	47	23	34	91	121	85
peak226	48	40	56	147	136	83	63	28	60	103	134	123
peak227	129	134	131	316	306	212	90	39	72	147	165	159
peak228	73	88	95	113	200	122	79	53	55	134	226	158
peak229	38	44	31	106	203	117	36	18	16	97	119	110
peak230	119	136	169	315	486	331	148	135	174	303	480	511
peak231	173	175	207	370	587	303	196	192	282	332	556	571
peak232	142	129	195	534	735	408	239	128	194	479	671	685
peak233	86	65	77	185	310	125	101	73	87	161	195	225
peak234	107	97	169	245	282	164	116	79	122	196	240	232
peak235	17	15	32	39	45	31	27	23	45	66	84	148
peak236	199	201	222	989	1877	1077	210	123	216	1265	1649	1656
peak237	43	57	74	118	183	108	40	41	48	81	131	100
peak238	257	256	304	1061	1957	988	212	191	203	741	1091	1126
peak239	9	10	7	26	50	27	10	30	22	28	75	65
peak240	25	24	18	58	79	33	42	29	35	77	124	114
peak241	383	276	254	1195	1596	843	395	286	325	1176	1538	1514
peak242	8	14	7	71	77	28	9	5	11	49	83	83
peak243	224	165	242	769	1157	638	250	167	197	990	1142	1115
