control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak124	2483	1447	2558	1868	974	866	1269	1398
peak125	1729	1248	1218	1306	577	562	576	904
peak126	1477	1009	1483	582	710	816	616	825
peak127	4432	3041	3429	2292	681	678	683	848
peak128	1257	846	962	448	188	188	166	147
peak129	1005	667	1642	1083	345	366	411	554
peak130	927	592	1887	791	344	356	529	585
peak131	1404	1078	832	847	620	689	631	814
peak132	2601	1985	2724	1815	1352	1415	1773	2238
peak133	820	527	968	608	367	318	323	454
peak134	1638	980	1531	692	503	438	393	483
peak135	385	229	733	336	143	110	164	211
peak136	166	166	484	374	85	83	282	364
peak137	3300	2268	3422	2604	1978	2176	2051	3088
peak138	3340	2433	2304	2127	1151	1169	955	1093
peak139	103	68	127	65	27	23	34	39
peak140	159	106	336	212	74	63	90	107
peak141	835	562	814	552	185	231	288	318
peak142	1325	875	1221	590	281	273	304	372
peak143	2644	2003	2429	1392	795	730	737	872
peak144	3288	2122	2943	1380	965	1027	950	1012
peak145	176	148	230	104	88	102	84	147
peak146	168	113	173	63	83	89	96	120
peak147	2352	1701	2227	1266	660	765	906	987
peak148	353	278	182	211	257	283	226	324
peak149	779	497	876	378	279	298	294	355
peak150	1663	1109	3177	1121	949	900	1003	1161
peak151	391	327	496	213	195	238	272	364
peak152	593	368	1302	1092	158	143	312	404
peak153	4611	3906	9208	6254	1510	1690	3020	3982
peak154	303	228	409	201	151	162	172	208
peak155	947	583	1287	666	490	526	669	745
peak156	3016	2074	2614	1859	1828	1674	1722	2098
peak157	10031	6316	6242	4195	3345	3559	2727	3231
peak158	6305	3917	5171	2891	2473	2317	1985	2157
peak159	129	80	178	106	157	141	163	220
peak160	2481	1731	1971	1513	865	879	779	918
peak161	876	609	1103	451	546	517	551	640
peak162	207	173	271	143	146	144	179	238
peak163	231	182	301	202	78	93	100	126
peak164	173	150	296	211	61	61	84	134
peak165	187	144	181	120	61	79	76	89
peak166	43665	35887	50292	31140	21433	24437	29157	36099
peak167	22400	14347	16839	9016	9637	9999	9065	10634
peak168	27577	20227	16974	10230	11809	12767	8584	10406
peak169	104	84	206	82	39	54	69	78
peak170	179	191	191	134	92	85	92	155
peak171	2818	1674	6361	2628	1071	935	1356	1415
peak172	4573	2965	4681	3425	1315	1340	1605	1944
peak173	139	95	154	70	214	243	190	310
peak174	401	335	733	438	114	124	224	289
peak175	218	158	353	252	106	85	163	236
peak176	635	448	1022	473	310	294	265	310
peak177	470	330	495	326	147	175	255	328
peak178	246	240	663	321	99	145	223	278
peak179	1124	787	2164	913	1059	1046	1214	1481
peak180	1478	1024	1140	869	511	497	490	606
peak181	1998	1371	2916	1946	687	700	906	1175
peak182	859	636	1632	1247	297	266	662	797
peak183	254	206	662	432	97	95	217	271
peak184	3589	2843	3545	1346	800	983	800	971
peak185	6288	4362	5042	3760	1477	1631	2013	2481
peak186	3528	2369	3030	1537	982	952	912	1166
peak187	50	50	79	44	38	37	51	45
peak188	385	265	535	236	166	151	167	195
peak189	588	384	1004	623	187	268	265	377
peak190	437	329	746	383	188	194	221	235
peak191	487	324	810	413	139	168	199	286
peak192	648	448	804	441	231	293	225	238
peak193	4267	2716	3841	2544	1255	1293	1376	1628
peak194	379	214	503	342	87	87	102	142
peak195	660	477	564	567	231	258	369	394
peak196	219	167	226	179	76	109	115	178
peak197	141	111	226	135	49	61	74	119
peak198	222	161	345	217	107	97	115	160
peak199	499	303	620	331	190	170	177	253
peak200	218	149	268	159	108	106	98	118
peak201	1570	1068	2129	1387	577	636	692	883
peak202	894	593	1334	655	360	309	455	493
peak203	189	164	290	119	73	80	106	126
peak204	184	124	485	475	60	75	286	418
peak205	185	169	302	289	80	80	138	222
peak206	1862	1201	2717	1358	703	693	854	1033
peak207	962	638	1168	573	430	422	426	489
peak208	5133	3222	8035	3540	1776	1774	2087	2367
peak209	321	182	395	224	130	124	154	189
peak210	567	379	745	301	190	213	215	286
peak211	223	141	276	122	65	83	90	108
peak212	357	237	419	195	114	103	131	199
peak213	120	75	138	54	51	66	56	56
peak214	592	423	549	387	253	242	243	275
peak215	88	71	161	79	26	25	37	54
peak216	2362	1377	1325	868	497	562	545	581
peak217	3016	1765	2786	1337	838	812	748	911
peak218	4440	2692	2514	2608	1236	1325	1060	1423
peak219	5190	3373	6686	3436	1647	1679	1650	2198
peak220	139	120	144	235	46	46	111	155
peak221	112	82	107	85	74	59	110	130
peak222	447	301	607	349	216	229	277	370
peak223	1529	1081	976	833	586	626	725	817
peak224	81	62	143	33	40	28	7	15
peak225	72	54	175	70	26	33	44	61
peak226	3449	2034	2269	2006	1236	1248	687	772
peak227	3224	2050	2206	1587	860	1027	729	960
peak228	619	406	860	404	287	315	283	339
peak229	762	574	754	597	302	339	447	535
peak230	265	185	698	274	78	70	123	175
peak231	120	75	236	123	68	64	95	137
peak232	1142	875	973	655	548	539	549	603
peak233	549	386	508	263	234	271	224	292
peak234	485	322	754	256	174	165	165	243
peak235	117	79	166	82	40	54	26	37
peak236	179	162	254	83	64	67	57	88
peak237	452	331	1006	383	172	177	215	222
peak238	5228	3477	8030	4093	2360	2211	3180	4099
peak239	3277	2488	3507	1846	1360	1612	1594	2188
