control_input	control_input.1	control_input.2	control_input.3	control_input.4	control_IP	control_IP.1	control_IP.2	control_IP.3	control_IP.4	treatment_input	treatment_input.1	treatment_input.2	treatment_input.3	treatment_input.4	treatment_IP	treatment_IP.1	treatment_IP.2	treatment_IP.3	treatment_IP.4
peak149	14	0	0	6	0	13	3	3	20	4	15	1	0	8	0	7	2	8	143	2
peak150	21	2	2	4	0	10	4	2	8	2	18	4	1	14	0	9	5	15	326	2
peak151	61	34	42	241	295	113	108	141	387	115	86	48	48	194	31	74	137	235	1409	129
peak152	117	32	37	249	0	337	106	115	1340	104	92	42	31	104	0	258	116	205	1602	101
peak153	26	16	22	92	1	15	47	64	466	42	29	39	14	35	1	5	65	108	238	45
peak154	41	22	24	72	1	40	111	91	622	80	30	41	15	21	6	14	75	164	325	108
peak155	10	5	0	17	0	22	1	5	173	4	17	3	2	2	0	3	3	17	30	2
peak156	6	11	30	34	0	2	11	24	91	14	7	16	11	14	17	0	19	22	35	18
peak157	18	14	17	23	0	5	8	5	183	17	10	17	14	5	0	0	3	10	55	8
peak158	19	9	14	26	0	12	26	27	245	30	8	11	3	3	0	0	16	60	96	23
peak159	35	5	3	16	0	129	25	27	363	32	16	9	1	3	7	48	21	35	129	10
peak160	33	5	1	30	0	104	30	25	450	15	25	10	2	7	0	15	33	45	125	19
peak161	20	11	9	31	0	45	69	81	399	73	21	21	15	8	0	14	74	132	95	64
peak162	72	3	4	11	0	253	33	54	113	63	108	4	3	4	1	328	59	67	143	76
peak163	53	15	18	25	0	248	122	165	330	249	124	26	12	6	41	330	137	191	192	315
peak164	491	485	1082	4106	701	679	1084	2238	5797	1863	92	89	320	899	272	60	1242	1713	2935	2021
peak165	54	69	109	328	0	87	42	55	266	88	66	6	21	19	20	73	50	62	80	111
peak166	38	24	48	146	0	33	12	19	173	25	18	4	6	14	3	14	10	12	35	30
peak167	36	16	27	81	0	24	22	34	627	29	5	1	3	5	2	6	18	21	34	33
peak168	18	3	18	46	0	30	24	32	332	29	10	0	1	3	0	16	21	39	11	34
peak169	29	13	15	64	1	23	21	36	300	30	2	1	3	1	0	6	15	46	24	31
peak170	14	26	45	22	0	48	53	80	116	81	20	12	5	2	0	33	52	102	8	93
peak171	17	1	5	13	0	6	7	20	98	33	53	14	2	8	0	38	9	14	89	25
peak172	2	1	0	2	0	91	9	3	91	15	26	1	2	2	0	373	4	13	104	17
peak173	177	98	148	533	1037	449	1626	1789	4037	916	578	328	348	676	263	568	1924	3416	5997	961
peak174	0	21	46	70	0	1	61	100	114	65	0	45	21	29	0	4	54	106	164	85
peak175	78	164	264	810	266	230	635	894	3048	755	40	334	93	381	0	81	663	1237	2886	884
peak176	67	178	262	496	0	175	249	362	1885	375	28	335	126	218	27	23	279	456	1849	425
peak177	93	130	194	379	0	364	838	1145	2198	1076	44	230	113	140	0	101	946	1298	1448	1191
peak178	43	142	239	367	1	64	290	453	1084	473	9	251	71	78	0	0	302	515	597	461
peak179	8	8	18	18	491	7	44	90	167	51	2	18	1	4	1	1	72	69	25	64
peak180	1	0	0	6	0	15	22	35	120	23	9	6	0	0	0	11	26	74	48	19
peak181	14	5	15	17	0	34	57	76	163	68	19	22	10	7	0	18	76	113	103	101
peak182	23	93	90	145	0	44	402	556	736	434	56	110	99	56	44	63	508	1043	665	498
peak183	11	159	179	709	1	9	117	147	503	150	46	242	307	596	82	18	175	288	349	216
peak184	7	42	72	248	0	4	62	75	458	72	14	99	39	69	38	8	91	127	145	80
peak185	9	7	10	36	305	18	45	30	459	38	5	16	4	11	0	12	53	55	136	42
peak186	0	7	16	62	1	9	288	354	1143	77	1	11	87	22	17	12	448	1871	642	79
peak187	9	0	6	10	1	11	534	557	119	27	0	5	130	6	8	4	827	3709	408	23
peak188	0	3	7	7	0	0	50	53	194	15	0	0	7	4	0	0	38	79	52	32
peak189	2	0	0	0	0	3	1	1	8	0	0	2	0	0	0	21	1	3	58	0
peak190	32	8	8	38	0	193	172	200	1188	199	2	20	28	48	0	74	227	555	2293	216
peak191	4	4	10	15	0	51	19	40	62	44	1	10	1	4	0	0	23	89	63	60
peak192	7	0	1	9	0	66	25	33	348	53	0	9	1	2	0	25	44	82	123	39
peak193	18	25	57	89	661	41	423	408	601	266	6	160	56	18	18	6	552	759	190	273
peak194	11	10	15	63	658	64	223	240	1220	164	5	60	9	8	1	2	317	484	578	146
peak195	59	120	212	544	2454	345	2751	3150	6886	1832	56	694	223	567	282	158	3313	5517	11605	2006
peak196	7	8	4	2	0	11	60	52	23	65	3	20	1	3	30	0	43	42	92	72
peak197	6	9	8	2	0	25	111	106	80	169	1	31	3	9	0	26	130	92	336	174
peak198	9	27	18	20	291	67	267	269	182	362	25	61	7	69	1	38	315	312	1586	430
peak199	13	0	3	11	0	13	14	17	10	8	6	3	2	24	0	25	10	19	122	8
peak200	9	26	26	55	1	4	33	43	105	24	8	47	12	45	17	13	29	26	211	17
peak201	47	10	12	64	0	58	19	15	149	11	93	25	15	51	0	44	10	59	251	12
peak202	51	17	9	56	0	85	32	32	185	31	169	30	9	138	0	157	38	61	1069	36
peak203	31	4	3	14	0	13	6	7	27	8	31	5	2	8	0	56	6	10	221	4
