control_input	control_input.1	control_input.2	control_input.3	control_input.4	control_IP	control_IP.1	control_IP.2	control_IP.3	control_IP.4	treatment_input	treatment_input.1	treatment_input.2	treatment_input.3	treatment_input.4	treatment_IP	treatment_IP.1	treatment_IP.2	treatment_IP.3	treatment_IP.4
peak30657	8	16	26	82	1	16	48	82	394	94	0	0	0	3	0	3	42	77	11	113
peak30658	86	78	167	151	1	364	425	991	851	602	2	2	0	2	1	1	486	504	24	689
peak30659	116	52	155	160	672	340	222	366	1056	238	0	2	1	1	28	5	170	218	6	290
peak30660	2	64	122	194	1	5	213	318	714	390	5	39	46	27	52	9	268	351	153	426
peak30661	3	120	203	312	0	2	125	232	407	231	1	102	77	35	105	4	162	181	25	210
peak30662	0	9	28	106	725	7	55	103	551	80	1	6	14	8	0	0	57	114	43	74
peak30663	8	0	1	0	0	112	0	0	1	1	3	1	0	0	0	55	0	1	17	4
peak30664	3	5	15	6	0	4	44	72	85	69	1	16	10	4	0	8	66	62	41	77
peak30665	8	0	1	0	0	94	12	28	0	0	0	0	9	3	0	22	37	120	34	2
peak30666	0	0	0	0	0	4	2	9	1	30	1	0	7	3	0	0	9	58	129	25
peak30667	5	17	18	10	0	2	41	64	17	38	3	22	6	4	26	7	70	43	6	35
peak30668	1	129	276	185	0	0	85	175	112	150	0	141	74	27	73	0	96	107	14	169
peak30669	20	0	2	1	0	176	0	3	7	2	6	0	0	4	0	378	0	4	24	5
peak30670	8	51	116	45	523	5	360	541	269	458	0	15	23	9	62	12	365	463	39	511
peak30671	27	73	180	400	0	23	233	460	2472	286	7	43	69	51	27	0	306	472	217	355
peak30672	36	152	419	1157	0	55	1171	2033	8622	1649	13	122	166	122	91	13	1264	2254	1563	1944
peak30673	67	2	5	3	0	1062	5	15	13	10	205	1	0	9	0	4421	18	7	196	10
peak30674	0	3	37	16	0	1	73	249	300	47	0	0	2	0	0	0	81	186	23	34
peak30675	0	3	26	25	0	1	10	40	131	7	0	0	3	0	0	0	15	24	6	4
peak30676	1	0	4	2	0	1	7	1	105	3	0	1	0	1	0	0	4	3	8	1
peak30677	0	5	30	11	1	4	21	61	34	14	2	6	11	0	0	2	55	62	8	21
peak30678	1	1	21	11	0	2	21	52	9	14	26	5	12	8	0	8	35	57	15	15
peak30679	0	0	0	0	0	42	0	0	0	0	8	0	1	0	0	89	1	0	1	0
peak30680	9	0	1	2	0	24	0	1	4	0	62	4	0	9	0	162	0	3	17	0
peak30681	2	24	27	24	0	0	57	97	12	33	0	35	56	5	39	2	115	100	12	52
peak30682	3	24	41	23	12	9	114	147	57	94	6	45	66	7	124	2	148	257	8	81
peak30683	2	4	3	9	0	20	192	206	74	100	3	3	2	0	0	6	223	508	9	124
peak30684	3	40	104	9	323	12	258	375	72	339	7	95	57	15	94	29	306	431	85	300
peak30685	3	0	0	0	0	101	3	1	7	0	2	0	0	1	0	105	1	2	52	0
peak30686	2	0	0	0	0	33	2	3	1	0	0	0	0	0	0	39	2	10	7	0
peak30687	10	0	0	0	0	275	1	2	4	0	4	0	0	0	0	83	3	7	3	2
peak30688	14	66	70	294	2	2	283	357	199	1004	5	395	353	2180	604	0	408	428	1659	1042
peak30689	2	70	90	165	2049	6	1331	1405	310	7645	5	388	304	1224	448	1	2072	2640	3599	7256
peak30690	55	0	0	0	0	1114	1	2	0	1	59	0	0	0	0	1988	1	1	4	0
peak30691	1	0	0	0	0	50	0	0	3	0	102	1	0	0	0	3353	0	0	38	2
peak30692	15	265	374	220	578	19	256	378	130	269	32	347	318	64	375	12	403	436	71	232
peak30693	11	246	378	278	1625	25	961	1165	368	778	41	228	352	98	233	27	1279	1519	228	762
peak30694	2	137	219	81	488	3	372	517	192	308	7	156	190	28	209	1	477	645	45	291
peak30695	13	58	79	54	0	8	183	225	141	127	9	86	61	14	52	17	216	323	28	123
peak30696	6	66	144	191	1	14	259	356	386	289	2	78	123	28	80	4	356	528	79	323
peak30697	42	0	3	3	0	838	3	9	18	12	9	3	4	0	0	54	4	3	9	10
peak30698	4	4	6	5	0	8	6	17	51	11	0	0	2	7	0	0	10	1	44	4
peak30699	9	1	2	5	0	36	2	13	105	7	1	0	0	0	0	0	11	9	17	9
peak30700	24	10	18	24	0	51	41	55	239	52	1	3	3	1	0	0	35	41	6	45
peak30701	6	109	322	501	1	5	373	677	1006	469	4	50	137	62	39	3	380	714	98	438
peak30702	6	109	211	222	950	2	146	209	53	88	4	310	272	34	131	1	144	254	9	83
peak30703	11	48	99	16	1480	39	2833	2267	279	1699	18	457	291	31	31	34	3509	9577	458	1474
peak30704	45	184	332	275	2943	202	9831	8271	1736	5894	94	1388	1568	351	214	165	11848	38847	5160	5300
peak30705	12	65	158	3	2	28	175	438	10	246	16	181	75	23	3	45	315	466	25	284
peak30706	50	349	718	369	1613	9	252	366	123	119	144	2279	4927	721	520	0	369	1063	273	170
peak30707	183	574	1244	621	1560	27	270	395	77	89	739	5317	11525	2273	1341	35	296	1233	177	130
peak30708	13	0	1	1	2	861	11	25	5	12	18	7	0	1	0	592	48	46	11	12
peak30709	1	1	0	0	0	70	9	11	2	8	21	5	0	0	0	317	7	16	76	10
peak30710	1	1	0	0	0	0	9	7	6	2	5	0	1	1	0	6	11	20	70	6
peak30711	2	3	6	16	0	10	17	33	141	11	7	1	54	3	0	0	40	96	23	13
peak30712	19	2	2	19	0	74	58	41	1171	23	2	3	0	2	0	1	51	63	33	26
peak30713	12	28	38	87	0	18	66	123	1244	107	3	19	11	3	41	7	49	150	66	125
peak30714	101	131	182	678	2	414	604	905	6345	839	22	78	60	45	5	49	568	1042	459	920
peak30715	47	47	70	187	1	54	116	181	861	197	86	48	66	136	8	37	100	212	164	209
peak30716	5	40	58	99	0	9	105	163	378	176	4	17	22	10	0	15	127	171	71	213
peak30717	9	31	52	116	0	10	99	133	498	145	3	48	43	20	0	0	86	165	78	139
peak30718	0	10	21	32	0	0	35	62	100	59	0	8	11	5	14	0	35	50	16	64
peak30719	0	2	0	12	0	0	41	61	167	53	0	3	5	0	0	0	55	66	121	78
peak30720	1	8	12	32	2	26	80	106	191	81	3	19	9	10	0	17	91	192	107	90
peak30721	8	10	15	24	0	17	93	121	387	159	0	2	2	6	0	11	91	126	76	179
peak30722	2	7	11	16	0	2	23	29	110	33	5	4	5	5	0	0	13	43	44	27
peak30723	2	5	3	10	0	10	9	7	105	8	3	0	0	1	0	0	8	13	37	6
peak30724	10	6	2	10	0	36	30	29	296	50	5	0	0	3	0	9	30	53	67	38
peak30725	12	4	9	11	1	38	65	50	428	37	7	12	6	3	11	29	91	114	168	39
peak30726	16	24	42	40	0	82	103	108	152	206	8	14	16	21	0	43	86	147	331	245
peak30727	14	53	151	316	297	10	83	146	231	81	19	212	117	368	78	4	89	185	228	82
peak30728	46	201	573	2002	2	70	265	523	1217	402	24	100	498	1446	301	3	273	643	694	374
peak30729	15	61	141	576	597	3	107	150	450	153	8	31	99	67	34	3	79	199	77	140
peak30730	12	79	214	473	1	7	108	191	310	164	1	27	163	57	71	0	113	260	53	194
peak30731	4	82	205	488	0	5	56	104	148	93	9	30	166	63	72	0	78	105	12	84
peak30732	2	58	185	195	0	3	70	86	201	67	3	20	191	32	18	0	62	74	24	69
peak30733	8	28	79	154	0	14	240	344	780	302	0	11	89	17	61	8	274	492	75	363
peak30734	7	1	3	5	0	70	16	33	96	42	0	0	0	0	0	0	17	18	67	47
peak30735	22	8	4	21	0	162	45	78	498	72	15	9	1	0	0	70	57	86	76	42
peak30736	8	14	17	32	0	19	38	68	172	44	8	18	11	2	0	6	46	106	30	44
peak30737	16	33	63	45	0	24	49	79	91	63	1	34	35	2	0	0	95	117	7	58
peak30738	17	43	98	81	0	7	66	83	154	55	4	28	45	5	22	0	63	125	12	60
peak30739	11	41	82	83	0	10	102	154	420	135	3	53	42	4	0	0	107	150	20	136
peak30740	9	39	81	86	728	4	172	293	315	191	5	42	26	5	0	7	218	310	32	231
peak30741	1	25	34	77	0	2	82	144	207	77	1	24	15	9	0	7	93	142	23	90
peak30742	51	41	123	359	227	154	172	212	1120	218	24	87	59	78	17	44	132	305	425	190
peak30743	18	21	22	73	0	13	48	79	165	54	10	22	19	23	0	4	38	93	30	62
peak30744	20	16	14	30	1	77	83	108	183	102	7	19	14	2	0	1	65	144	44	75
peak30745	18	17	22	25	0	8	26	47	137	25	2	25	7	4	24	0	25	54	40	29
peak30746	15	6	15	15	1	24	43	69	135	43	6	16	8	1	24	1	52	84	33	59
peak30747	0	1	0	0	415	0	89	97	1	32	2	15	5	4	20	0	141	97	26	39
peak30748	3	1	0	2	303	3	10	4	7	5	11	16	2	20	40	6	13	13	149	8
peak30749	0	2	1	7	0	3	8	9	19	13	1	0	1	43	0	4	4	29	112	5
peak30750	1	68	95	125	0	4	118	195	501	218	4	111	68	15	0	1	127	236	137	179
peak30751	2	20	22	43	0	0	46	57	247	54	7	39	18	2	9	8	32	80	42	49
peak30752	7	54	107	88	1	7	246	325	497	294	2	89	63	22	48	17	251	421	105	290
peak30753	3	55	94	46	2	29	322	508	431	382	4	86	57	11	34	15	374	510	93	435
peak30754	7	28	55	165	0	35	159	180	782	369	21	18	2	56	36	3	121	173	635	478
peak30755	10	0	0	0	0	164	2	0	1	0	2	0	0	0	0	84	0	0	9	1
peak30756	4	0	0	0	0	70	0	1	4	0	0	0	0	0	0	54	1	1	9	0
peak30757	11	0	2	0	0	291	9	5	14	4	4	0	0	2	0	191	15	13	78	6
peak30758	55	91	124	512	162	246	868	942	4564	707	46	167	139	257	72	179	1047	1799	8687	663
peak30759	11	14	17	15	0	57	59	94	46	63	0	17	5	2	23	0	64	74	26	88
peak30760	26	41	78	99	547	62	427	516	542	420	11	88	72	9	1	20	454	689	70	496
peak30761	6	114	333	316	640	13	530	891	1009	688	6	158	227	85	43	10	689	1043	339	749
peak30762	3	0	1	0	0	71	0	0	7	0	6	0	0	1	0	95	0	0	6	1
peak30763	40	2	2	3	0	942	4	4	1	3	112	0	1	4	0	1506	2	3	7	2
peak30764	0	9	14	9	0	10	56	103	74	157	0	1	0	2	0	0	62	42	23	159
peak30765	4	0	0	0	0	27	0	1	2	1	0	0	0	0	0	151	1	1	18	0
peak30766	1	0	0	0	0	13	0	0	0	0	3	0	1	0	0	82	0	1	4	0
peak30767	9	0	1	1	0	27	2	4	10	4	2	1	2	13	0	75	1	7	48	2
peak30768	2	37	73	75	0	6	165	235	255	236	6	62	47	67	78	1	186	278	197	251
peak30769	2	3	6	5	0	0	42	61	167	34	0	3	7	5	0	0	36	101	121	35
peak30770	5	35	63	14	0	21	281	519	269	362	5	27	25	8	0	44	319	837	135	401
peak30771	3	21	71	18	0	2	109	197	69	152	4	22	38	5	0	0	103	244	19	157
peak30772	1	26	37	4	45	4	212	285	15	19	3	99	167	6	37	13	272	977	28	29
peak30773	0	16	38	0	0	10	56	67	0	12	7	44	29	0	0	0	65	86	0	9
peak30774	7	19	19	0	0	4	36	59	2	8	20	42	45	3	0	10	36	82	1	9
peak30775	9	74	116	8	530	7	90	139	36	12	14	237	292	6	165	6	86	261	6	10
peak30776	6	45	57	6	0	6	53	115	6	12	36	107	83	2	0	6	70	136	2	14
peak30777	1	15	16	4	0	0	23	31	7	3	9	26	15	4	0	8	36	93	2	3
peak30778	54	18	22	2	0	251	20	41	7	3	555	29	35	5	0	3040	31	67	16	3
peak30779	0	41	95	20	0	0	58	103	14	11	11	115	75	14	0	2	89	82	16	17
peak30780	263	40	62	28	1	5000	398	632	293	103	2807	138	257	68	0	61485	623	2433	680	150
peak30781	125	27	37	15	0	160	59	110	11	13	669	57	103	20	0	415	79	208	30	23
peak30782	0	20	25	8	0	0	68	103	9	17	13	71	35	3	0	0	81	141	11	10
peak30783	10	4	8	2	0	46	17	23	3	4	107	20	16	1	0	611	12	20	9	1
peak30784	5	341	529	138	1036	17	1995	2533	737	274	52	764	1370	46	400	115	2730	6556	363	347
peak30785	33	148	304	259	631	95	546	820	576	393	43	431	442	567	64	57	785	1735	2348	440
peak30786	14	102	252	157	251	57	870	1578	1490	831	8	412	316	393	20	17	1060	2368	7744	848
peak30787	3	45	124	29	573	19	463	669	125	292	7	143	100	28	2	10	544	1098	162	312
peak30788	2	45	93	25	0	4	86	124	30	47	6	134	76	26	32	0	79	153	19	45
peak30789	3	54	157	26	0	16	390	705	133	319	12	195	165	19	34	13	627	1121	158	358
peak30790	4	37	118	10	0	2	130	221	34	133	2	119	156	2	28	0	156	405	29	128
peak30791	1	8	11	1	1	11	30	61	3	15	2	19	9	4	0	0	45	66	6	37
peak30792	5	38	69	5	595	0	60	67	17	40	0	146	106	3	45	1	42	149	8	27
peak30793	0	70	123	8	2	2	286	428	68	178	2	160	134	11	32	0	305	704	38	191
peak30794	18	48	122	13	65	12	144	230	15	82	12	160	186	18	54	0	124	416	12	72
peak30795	1	1	4	1	0	0	13	21	26	11	0	8	10	14	0	0	7	28	327	4
peak30796	5	0	0	0	0	48	0	1	2	0	13	0	0	0	0	104	0	4	8	1
peak30797	1	0	0	0	0	8	1	1	1	1	1	0	3	0	0	49	0	0	3	2
peak30798	131	1	4	10	0	394	26	34	17	35	165	10	5	20	33	252	38	31	203	30
peak30799	1	60	123	8	1	0	73	123	7	117	1	110	47	9	35	0	86	142	9	111
peak30800	8	225	781	1125	530	19	253	433	2167	454	0	284	129	140	91	0	327	377	426	452
peak30801	5	206	723	864	1	7	365	803	1265	828	0	217	108	64	202	0	416	570	86	902
peak30802	3	119	305	338	0	6	104	210	91	190	0	103	47	25	42	0	135	134	8	235
peak30803	3	60	175	223	0	12	81	128	594	117	4	88	16	6	0	0	51	156	59	84
peak30804	11	105	281	311	92	58	798	1439	2670	1055	7	98	42	21	69	9	825	1317	269	1104
peak30805	2	52	175	103	88	4	111	224	112	176	2	65	18	4	0	0	120	107	5	178
peak30806	10	86	251	199	0	34	98	209	83	179	0	98	48	5	37	0	105	106	5	199
peak30807	48	74	222	246	0	10	193	364	494	248	8	89	42	8	15	0	174	218	19	247
peak30808	12	22	21	5	0	177	143	272	47	209	2	15	1	0	0	3	148	157	23	235
peak30809	3	12	14	0	0	56	58	139	3	113	2	4	3	0	0	0	32	69	1	108
peak30810	11	11	14	3	0	45	36	52	12	83	0	7	2	1	0	0	32	34	2	58
peak30811	58	61	162	191	1	90	328	442	783	419	3	73	27	8	53	5	331	566	46	407
peak30812	33	48	88	21	0	79	151	264	90	297	6	36	13	3	0	1	160	164	11	302
peak30813	35	84	311	185	1	20	336	682	724	444	8	107	66	8	103	0	407	521	13	560
peak30814	11	84	239	122	0	37	66	92	86	71	4	95	49	3	57	0	39	32	1	72
peak30815	1	15	11	1	0	15	43	117	22	127	0	8	1	0	0	0	56	72	4	144
peak30816	32	70	226	164	0	120	312	666	757	466	7	125	37	6	94	0	349	479	35	565
peak30817	10	5	8	22	1	135	28	37	222	47	4	2	1	10	0	30	18	32	220	35
peak30818	5	9	16	29	0	1	32	48	130	38	0	12	0	4	0	4	32	22	18	45
peak30819	1	7	8	6	0	42	42	49	29	39	3	3	2	1	0	5	32	34	6	37
peak30820	47	70	234	77	1	107	552	1077	663	707	2	101	42	2	75	0	645	749	34	922
peak30821	10	9	10	46	0	29	19	7	116	26	0	10	0	5	0	0	16	22	27	39
peak30822	0	4	1	4	0	15	12	24	184	22	0	3	0	3	0	0	6	31	161	9
peak30823	1	0	0	0	0	53	0	3	3	0	4	0	0	0	0	147	4	6	2	0
peak30824	1	13	17	36	0	0	12	24	119	93	0	1	1	0	0	0	19	33	1	84
peak30825	4	10	25	99	0	19	66	164	1659	383	0	1	0	5	1	0	48	72	54	449
peak30826	2585	6	17	82	1	64159	58	110	1690	244	35	1	1	13	0	912	77	86	305	198
peak30827	5	6	29	25	469	4	20	29	64	17	1	4	12	69	2	0	21	57	296	19
peak30828	0	27	47	33	0	2	87	166	82	119	3	16	30	33	33	3	121	190	238	124
peak30829	7	6	6	21	0	14	51	73	109	44	2	17	9	12	0	0	73	153	264	49
peak30830	0	10	24	5	0	5	35	55	7	34	0	8	11	2	35	0	45	65	22	41
peak30831	4	10	31	5	1	0	37	82	7	51	2	13	13	5	20	5	61	125	24	70
peak30832	3	1	0	0	0	221	1	2	3	3	5	0	2	0	0	232	3	18	9	1
peak30833	5	0	0	1	0	159	1	3	15	4	27	0	0	5	0	1443	3	21	221	0
peak30834	4	1	5	3	0	67	0	10	0	3	6	4	2	0	0	54	1	9	0	2
peak30835	5	2	1	0	0	52	0	0	2	0	13	4	1	7	0	227	2	3	6	2
peak30836	0	7	3	5	0	0	4	13	29	10	0	4	1	12	0	0	11	12	164	9
peak30837	20	219	516	378	812	113	2194	3584	4482	2462	47	315	387	57	201	65	2648	4700	980	2547
peak30838	13	87	186	95	0	19	384	786	250	441	15	100	159	25	74	8	436	823	41	494
peak30839	34	87	210	113	0	8	124	184	71	111	40	174	184	27	105	2	145	197	6	138
peak30840	33	0	5	11	0	128	4	17	62	5	56	4	1	5	0	108	9	30	27	9
peak30841	6	0	0	0	0	13	0	0	1	0	18	0	0	1	0	245	1	0	6	0
peak30842	13	41	52	69	0	9	77	103	106	76	8	46	37	11	19	8	122	105	21	89
peak30843	39	50	82	65	1	127	263	379	133	320	14	63	51	21	119	44	432	556	47	292
peak30844	23	33	69	97	0	79	165	225	556	179	11	61	40	50	0	18	188	253	193	170
peak30845	94	17	47	118	0	165	107	161	387	99	41	52	48	60	16	9	146	171	155	135
peak30846	57	37	47	113	435	183	201	307	358	216	26	30	38	38	73	39	292	354	138	220
peak30847	16	41	52	108	1	88	130	253	415	166	10	39	41	54	16	10	184	358	256	183
peak30848	6	48	65	165	361	6	119	169	248	129	6	65	59	99	0	11	113	167	261	190
peak30849	3	55	124	161	1	25	338	444	657	481	3	86	66	46	45	3	441	579	442	435
peak30850	16	102	169	180	0	10	239	370	333	367	1	107	107	43	0	13	260	405	114	355
peak30851	1	22	34	29	0	1	78	99	45	70	3	24	14	11	37	0	73	107	12	115
peak30852	1	33	62	68	0	7	68	107	81	78	0	37	50	14	68	1	78	160	61	100
peak30853	257	23	54	51	0	171	66	155	86	78	166	59	49	223	41	87	81	149	400	101
peak30854	93	35	75	64	0	281	227	393	208	280	75	54	61	309	0	156	318	511	1257	307
peak30855	0	53	100	42	0	3	288	437	136	493	0	65	41	13	158	8	347	387	132	502
peak30856	0	36	83	20	0	12	165	311	26	251	0	44	40	7	76	0	220	251	44	298
peak30857	3	55	108	22	0	38	435	692	178	619	4	81	56	10	75	21	506	735	152	660
peak30858	4	4	22	34	0	8	33	83	179	127	0	0	0	0	0	0	42	52	2	118
peak30859	0	9	36	8	0	1	33	82	19	105	0	0	0	0	0	0	33	50	0	83
peak30860	0	1	44	14	0	3	61	231	102	244	0	0	0	0	0	0	116	167	2	249
peak30861	0	5	22	6	0	0	58	113	28	89	0	1	1	0	0	0	46	59	0	120
peak30862	2	0	0	3	0	24	1	0	1	4	4	0	0	3	0	90	0	1	6	0
peak30863	6	4	19	3	0	6	24	58	11	61	0	0	1	1	1	0	25	32	1	72
peak30864	5	183	203	998	3	30	443	607	3696	1458	0	3	1	9	0	0	383	335	30	1513
peak30865	106	5	5	39	0	219	18	17	100	41	4	0	0	3	0	12	10	6	6	39
peak30866	21	65	82	336	0	72	134	249	629	350	3	2	1	0	0	0	98	121	2	405
peak30867	6	11	18	38	0	6	4	6	107	6	2	3	0	0	0	0	7	4	4	14
peak30868	75	4	3	42	0	297	11	9	90	25	1	0	0	0	0	7	9	5	2	30
peak30869	16	189	420	92	128	105	2497	3533	998	2815	19	258	262	78	221	183	2831	4465	669	2796
peak30870	3	61	98	29	0	4	69	128	3	43	3	71	77	16	56	0	76	89	5	65
peak30871	0	0	0	0	0	24	0	0	3	0	5	0	0	5	0	236	0	0	9	0
peak30872	1	0	0	1	0	13	4	4	2	1	3	3	2	15	0	17	4	18	384	1
peak30873	12	22	53	42	0	41	130	194	379	160	2	79	21	21	0	4	121	239	299	209
peak30874	8	18	26	31	0	5	30	49	77	47	0	46	15	19	0	3	34	77	102	42
peak30875	2	25	26	45	1	38	146	181	634	155	6	30	20	10	0	14	137	218	150	163
peak30876	1	18	30	61	0	1	42	30	301	40	1	34	11	20	0	13	48	48	143	40
peak30877	0	15	22	34	0	3	77	81	98	42	0	4	4	10	38	12	65	74	75	38
peak30878	0	0	0	0	0	0	0	2	3	0	0	0	0	1	0	0	0	0	104	0
peak30879	1	0	1	0	0	1	1	0	0	0	1	0	0	9	0	6	1	0	96	2
peak30880	10	98	202	337	0	38	197	261	299	209	24	138	237	238	94	9	305	390	274	242
peak30881	4	78	136	47	2	8	144	300	53	163	3	102	67	26	84	1	193	280	22	209
peak30882	4	62	97	103	285	12	117	192	135	144	10	123	44	209	36	13	168	234	293	135
peak30883	4	5	8	15	0	8	17	44	28	18	0	37	4	16	0	0	20	23	96	20
peak30884	29	1	1	3	0	44	7	17	6	11	33	7	1	19	0	21	20	16	90	13
peak30885	0	3	2	14	0	3	16	27	123	31	0	1	2	0	44	7	13	25	1	42
peak30886	1	13	24	53	0	0	19	19	259	22	0	11	1	1	0	0	21	23	16	21
peak30887	18	53	109	416	557	67	1611	1602	17979	1895	6	44	14	69	68	16	1825	2092	4060	1825
peak30888	15	248	413	1345	1254	69	395	698	1982	667	0	196	90	451	191	15	505	593	661	828
peak30889	3	5	5	8	0	13	71	112	86	126	0	2	6	2	0	2	62	105	35	121
peak30890	1	0	0	1	0	38	1	2	0	0	1	0	0	0	0	189	0	2	9	4
peak30891	8	38	44	12	0	75	273	350	144	326	1	37	11	6	0	0	246	288	89	416
peak30892	10	94	156	71	0	4	179	326	164	233	4	93	85	19	33	3	182	294	41	277
peak30893	9	63	98	67	0	15	225	270	103	242	3	56	54	17	88	1	263	284	41	223
peak30894	16	22	68	158	0	96	269	643	3428	566	2	4	1	22	0	0	291	330	887	631
peak30895	2	23	41	96	1	6	27	97	233	102	0	2	5	11	0	0	35	47	81	81
peak30896	3	3	10	28	0	0	7	19	76	18	0	2	2	2	0	0	8	24	7	23
peak30897	25	10	48	59	0	19	12	19	81	39	4	1	2	35	9	0	7	23	765	43
peak30898	8	12	48	38	0	42	43	99	267	40	0	2	0	6	0	0	38	82	69	93
peak30899	47	2	10	23	0	168	19	24	391	23	1	0	0	0	0	2	20	23	74	36
peak30900	39	14	44	69	0	408	162	333	1048	240	3	1	2	3	0	5	138	265	139	277
peak30901	2	1	3	1	0	0	0	0	3	1	0	0	1	5	0	0	0	3	84	3
peak30902	14	1	10	14	0	53	37	35	174	36	0	1	1	1	0	0	20	33	13	39
peak30903	4	2	21	14	0	10	8	32	90	18	0	1	0	0	0	0	10	14	12	14
peak30904	10	0	1	4	0	24	3	1	2	2	3	0	0	6	0	27	2	3	3	2
peak30905	30	9	18	19	1	61	46	119	245	107	0	0	2	1	0	0	49	87	10	110
peak30906	2	0	0	0	0	6	9	19	1	2	0	0	4	0	0	3	33	74	13	3
peak30907	2	7	37	5	0	2	76	111	34	78	1	12	10	7	0	10	79	140	24	74
peak30908	4	0	0	0	0	93	3	4	1	3	29	0	0	2	0	537	5	22	36	4
peak30909	9	0	0	2	0	36	0	0	0	0	9	0	0	2	0	65	1	0	2	0
peak30910	6	147	290	207	1	25	537	735	699	742	12	178	135	32	75	29	569	898	130	680
peak30911	12	249	371	223	375	23	606	951	309	824	17	292	190	47	336	41	866	981	69	733
peak30912	0	8	15	24	0	0	84	90	89	90	3	9	18	9	21	4	114	96	44	89
peak30913	0	0	0	0	0	48	0	0	1	0	2	0	0	0	0	105	0	1	5	0
peak30914	59	44	44	211	0	356	343	335	3550	437	9	1	0	16	0	68	232	276	399	482
peak30915	31	20	12	73	1	116	117	128	1123	150	16	1	3	2	0	18	117	125	38	178
peak30916	6	0	1	0	0	2	0	3	113	2	2	0	0	0	0	0	1	3	3	0
peak30917	1	35	50	1	0	6	196	213	38	117	2	13	25	3	26	0	256	206	28	116
peak30918	2	23	22	3	0	1	72	90	21	40	1	9	10	1	48	0	63	72	11	57
peak30919	6	4	2	3	0	14	34	46	32	13	1	5	1	0	0	8	57	35	19	18
peak30920	4	0	3	1	0	21	28	19	57	8	0	1	0	1	0	20	21	40	61	16
peak30921	0	0	1	0	0	23	0	0	9	0	1	0	0	1	10	63	0	2	5	0
peak30922	4	81	161	132	2	14	296	565	469	303	10	142	131	22	6	0	346	625	102	368
peak30923	1	40	87	31	0	0	59	88	29	64	5	54	35	8	58	0	68	81	10	45
peak30924	9	135	308	131	723	9	460	872	439	510	7	235	118	17	15	23	627	888	115	558
peak30925	13	14	26	7	0	12	209	237	32	133	21	33	38	5	1	15	188	423	17	156
peak30926	18	5	12	0	0	83	4	8	1	0	24	10	0	0	0	48	1	8	0	1
peak30927	19	4	7	6	3	147	29	35	13	21	30	12	4	23	0	69	28	88	88	10
peak30928	49	1	1	1	0	698	19	31	30	15	42	1	0	23	0	1070	28	36	1175	18
peak30929	1	7	11	11	0	12	169	159	421	215	3	6	5	4	0	14	158	220	380	254
peak30930	6	19	52	47	1	24	245	371	1338	287	6	34	20	10	3	12	251	409	409	327
peak30931	0	4	13	12	0	0	38	86	116	43	2	21	10	5	21	5	49	85	27	50
peak30932	2	1	0	0	0	92	1	0	2	5	1	0	0	0	0	80	1	3	17	1
peak30933	20	1	2	0	0	371	2	3	0	2	26	0	0	0	0	346	4	5	12	7
peak30934	282	26	52	107	0	5052	160	206	524	221	25	47	0	36	0	883	134	125	222	227
peak30935	81	22	38	161	0	1121	222	336	2005	294	14	52	1	116	18	23	247	247	2336	372
peak30936	13	10	4	4	0	156	6	5	4	11	0	9	1	3	0	5	10	10	2	15
peak30937	24	1	0	6	0	706	2	2	0	1	4	2	0	1	0	98	3	2	7	1
peak30938	67	7	2	15	0	1248	4	2	3	3	0	11	0	9	0	85	8	1	3	3
peak30939	368	4	14	12	2	12243	78	87	70	131	46	8	1	11	0	2033	179	143	90	118
peak30940	24	1	0	2	0	52	0	1	5	3	13	2	1	5	0	126	1	1	12	0
peak30941	13	5	2	1	0	144	1	2	0	7	0	3	1	0	0	13	0	6	1	2
peak30942	346	3	1	9	0	8359	68	83	189	100	55	9	1	10	0	1254	128	72	554	99
peak30943	28	90	154	296	1	178	426	839	2841	836	0	130	23	52	59	0	508	480	1401	898
peak30944	11	25	73	93	0	25	100	134	300	205	2	37	1	25	0	0	116	106	59	179
peak30945	44	2	1	8	0	289	3	12	29	14	8	0	0	16	0	27	6	9	42	9
peak30946	39	5	6	11	0	239	16	17	8	21	0	12	2	10	0	16	18	7	5	16
peak30947	2	7	9	25	0	10	8	16	30	25	0	1	1	19	0	0	7	8	144	12
peak30948	12	4	0	1	1	326	17	33	30	24	7	2	2	0	0	41	7	28	34	13
peak30949	85	8	28	82	0	447	12	21	126	21	22	16	10	80	0	44	5	17	111	21
peak30950	10	0	0	0	0	108	2	1	3	0	1	0	0	0	0	41	1	2	18	4
peak30951	7	0	1	0	0	63	2	3	3	6	14	0	2	3	0	82	1	6	48	5
peak30952	37	0	3	0	0	724	9	29	10	56	42	0	4	9	0	1087	44	89	228	50
peak30953	6	87	266	21	777	10	309	543	79	281	2	130	96	9	0	7	365	530	44	317
peak30954	2	26	81	6	632	0	84	127	1	67	1	45	39	6	0	0	102	78	6	38
peak30955	0	27	43	4	0	1	66	91	9	46	10	31	17	12	67	1	71	107	21	50
peak30956	1	37	146	8	335	6	212	439	5	222	1	55	49	3	15	8	324	369	7	274
peak30957	0	51	147	8	0	5	99	173	14	136	2	73	47	6	30	7	164	174	24	76
peak30958	2	43	132	3	1	5	70	136	2	70	2	89	29	6	170	0	89	138	6	87
peak30959	2	0	0	0	0	16	0	1	2	0	4	0	0	0	0	83	1	0	8	0
peak30960	0	0	0	0	0	19	0	4	7	7	0	0	0	1	0	41	1	1	116	0
