control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak351	375	157	4352	3335	218	176	1791	1186
peak352	72	61	2611	3485	97	128	1532	1245
peak353	104	73	2973	2660	105	115	1263	841
peak354	39	32	309	278	46	42	160	77
peak355	1	3	61	112	1	5	27	63
peak356	54	24	196	207	51	43	175	179
peak357	5	0	136	47	3	2	307	88
peak358	11	7	30	55	6	13	29	74
peak359	1	1	180	102	3	3	143	122
peak360	54	21	449	361	22	47	190	229
peak361	8	1	187	220	13	13	121	85
peak362	45	46	332	386	48	45	182	152
peak363	0	4	139	56	2	2	65	21
peak364	23	24	263	476	22	27	202	202
peak365	19	31	423	203	33	25	393	258
peak366	22	21	542	798	62	29	585	621
peak367	44	22	625	737	24	31	1068	468
peak368	17	5	267	163	28	10	273	131
peak369	75	28	1259	1043	61	53	735	379
peak370	42	23	526	770	48	42	403	213
peak371	54	39	250	369	80	63	189	118
peak372	484	325	874	997	303	327	1057	1238
peak373	658	401	4446	5147	544	467	2022	3550
peak374	754	398	981	792	576	440	923	1674
peak375	27	16	1313	990	31	37	437	261
peak376	91	42	1217	1002	60	51	564	438
peak377	6	1	201	89	11	5	107	59
peak378	60	14	864	513	74	27	606	277
peak379	15	16	546	228	40	28	178	62
peak380	2	14	180	247	27	9	186	118
peak381	25	14	748	412	9	8	720	238
peak382	118	24	646	334	135	112	561	437
peak383	91	40	1240	658	87	53	922	506
peak384	0	0	17	6	0	4	62	108
peak385	203	78	3446	1654	151	70	2519	1381
peak386	211	101	1859	1135	148	130	842	866
peak387	500	188	1651	1438	408	234	1435	1536
peak388	49	26	54	145	57	15	95	178
peak389	101	66	2630	1884	93	88	1426	600
peak390	1	0	121	173	19	16	393	375
peak391	532	232	2197	1820	568	367	1748	1359
peak392	14	7	204	131	14	7	91	31
peak393	0	1	104	35	0	0	11	8
peak394	8	2	931	466	1	4	368	249
peak395	26	28	105	180	41	34	53	52
peak396	1	1	10	13	6	0	16	37
peak397	49	18	521	641	57	77	308	394
peak398	40	10	457	310	32	40	228	133
peak399	57	35	483	304	15	8	127	132
peak400	69	41	267	418	120	118	359	827
peak401	288	171	7367	5880	267	330	4990	2699
peak402	164	50	2493	1342	187	179	1556	650
peak403	18	13	330	383	44	30	257	244
peak404	16	14	382	428	30	21	254	142
peak405	29	21	113	188	48	63	100	139
peak406	19	28	596	714	54	56	418	293
peak407	52	45	67	176	64	37	71	182
peak408	202	61	1775	1534	141	143	965	1378
peak409	153	76	779	888	177	91	668	477
peak410	36	26	189	243	20	37	39	43
peak411	9	4	186	155	3	1	40	24
peak412	1	1	327	316	0	5	139	54
peak413	13	6	135	251	12	26	84	97
peak414	54	41	556	511	90	93	768	307
peak415	13	13	196	152	3	8	147	159
peak416	0	2	169	202	22	3	103	98
peak417	1	4	65	120	8	3	44	27
peak418	33	27	187	122	10	42	110	129
peak419	32	37	116	150	29	35	74	151
peak420	25	11	1129	508	11	7	1185	477
peak421	171	110	5900	4949	152	142	3950	3644
peak422	59	47	3153	3390	77	77	2141	1959
peak423	11	12	275	193	8	11	308	154
peak424	330	174	1535	2350	182	190	935	969
peak425	261	162	2435	2862	156	240	1445	3031
peak426	708	556	15172	15195	566	643	7528	8700
peak427	18	6	270	254	26	18	111	69
peak428	2	5	285	246	62	66	1160	954
peak429	60	11	402	130	31	20	131	46
peak430	27	27	56	244	16	46	20	100
peak431	67	49	1313	1389	87	65	1211	799
peak432	103	37	436	329	76	70	295	115
peak433	477	143	5987	3903	389	205	3264	2065
peak434	127	60	2594	2430	110	82	1967	1115
peak435	0	0	117	95	0	0	17	14
peak436	14	7	212	231	0	0	44	42
peak437	15	15	155	121	0	8	43	15
peak438	57	22	768	418	26	16	268	174
peak439	29	36	3199	2015	35	40	1936	1681
peak440	137	82	426	228	121	90	267	180
peak441	179	71	1016	784	124	83	437	265
peak442	245	82	2083	2532	192	160	1037	1363
peak443	26	37	186	192	16	23	107	129
peak444	0	3	130	212	0	0	29	14
peak445	0	1	54	44	1	2	126	88
peak446	16	9	705	382	12	8	859	536
peak447	15	21	53	36	27	13	64	84
peak448	21	10	703	398	15	9	434	268
peak449	54	36	268	508	40	61	237	482
peak450	112	83	1337	2345	137	125	659	1057
peak451	33	26	579	528	44	17	218	160
peak452	2	0	153	70	5	0	44	24
peak453	52	17	1270	660	30	22	1539	549
peak454	19	7	168	185	36	23	176	138
peak455	365	137	551	343	241	67	272	238
peak456	3	3	92	86	47	14	733	455
peak457	498	133	1273	835	397	248	932	1395
peak458	337	94	599	520	340	195	700	1106
peak459	29	9	107	152	2	6	56	116
peak460	39	33	462	348	7	23	210	208
peak461	66	23	3023	1906	32	48	1941	1062
peak462	47	15	1092	814	17	27	822	556
peak463	415	162	2312	1682	284	245	1117	1318
peak464	36	13	449	243	22	20	280	98
peak465	497	241	6707	4073	365	289	2881	2780
peak466	43	26	79	252	58	40	96	132
peak467	56	37	315	716	40	63	156	365
peak468	130	111	1019	1242	426	429	2935	2830
peak469	30	26	206	413	165	170	494	391
peak470	31	17	463	337	31	32	427	247
peak471	104	29	406	382	53	60	156	156
peak472	118	83	1298	1692	136	124	1320	1083
peak473	10	6	310	305	25	10	596	325
peak474	9	17	666	664	31	27	457	338
peak475	37	13	512	484	8	14	142	168
peak476	29	20	322	496	21	40	150	151
peak477	3	0	54	46	14	12	105	104
peak478	43	18	676	931	37	24	268	344
peak479	107	56	1594	2285	99	97	556	648
peak480	63	30	954	1016	47	58	581	597
peak481	21	19	88	102	29	24	40	65
peak482	51	77	1003	1637	59	89	553	570
peak483	8	18	401	508	4	18	304	311
peak484	1	0	58	45	17	6	173	123
peak485	8	30	811	707	9	21	1066	555
peak486	14	3	125	101	2	6	91	61
