control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak219	18	12	91	53	20	23	89	91
peak220	71	63	317	309	78	66	320	327
peak221	37	43	163	137	62	67	207	152
peak222	76	64	354	251	86	121	356	303
peak223	91	77	265	270	108	115	305	270
peak224	34	42	171	143	56	69	128	133
peak225	35	37	241	233	35	48	285	213
peak226	43	53	260	252	78	90	296	256
peak227	48	41	228	213	43	61	230	190
peak228	37	47	173	143	43	41	152	118
peak229	53	71	402	339	71	65	347	273
peak230	42	39	108	118	25	38	81	73
peak231	54	59	137	104	76	71	93	96
peak232	31	31	96	115	36	27	112	80
peak233	70	61	277	234	57	50	254	171
peak234	25	26	108	83	23	38	100	94
peak235	20	32	59	61	24	43	56	61
peak236	286	311	1111	1076	277	249	883	687
peak237	151	169	380	305	133	130	313	258
peak238	729	821	5063	4515	612	573	3331	2514
peak239	306	300	1119	1014	237	190	609	432
peak240	358	380	912	775	239	289	722	556
peak241	387	447	842	775	322	313	656	535
peak242	20	39	69	100	25	13	36	29
peak243	103	90	339	305	118	129	277	242
peak244	53	54	299	253	70	65	265	213
peak245	54	52	198	187	42	37	154	125
peak246	17	18	66	68	18	16	44	55
peak247	10	17	56	65	15	41	93	93
peak248	34	14	132	102	43	73	177	219
peak249	78	95	242	212	79	94	256	204
peak250	241	283	1470	1359	247	275	1290	1032
peak251	62	49	300	282	72	86	356	253
peak252	23	32	60	50	23	27	81	78
peak253	21	22	55	63	26	37	62	60
peak254	16	11	65	84	20	17	90	72
peak255	47	50	314	241	86	69	363	252
peak256	202	215	1000	878	261	231	946	810
peak257	145	168	742	650	150	148	681	494
peak258	72	57	241	174	97	87	269	206
peak259	48	51	164	166	61	77	173	127
peak260	56	66	200	138	63	64	200	163
peak261	44	54	174	134	56	56	153	140
peak262	50	56	170	142	66	55	168	185
peak263	27	41	114	91	42	31	156	126
peak264	9	15	58	71	10	17	77	82
peak265	10	11	87	87	17	16	102	88
peak266	147	113	297	252	115	107	206	155
peak267	164	144	430	440	114	129	253	211
peak268	376	371	2233	2086	260	270	1493	1124
peak269	109	132	367	339	72	98	230	204
peak270	128	130	465	432	91	88	282	188
peak271	51	31	118	114	36	35	54	46
peak272	145	182	1157	1152	112	84	651	521
peak273	125	121	749	561	44	43	260	148
peak274	163	145	467	452	147	171	445	342
peak275	54	64	239	255	40	48	192	138
peak276	46	46	175	126	40	25	129	102
peak277	154	162	739	626	184	176	606	516
peak278	60	69	302	327	60	73	253	238
peak279	11	19	69	61	22	16	43	57
peak280	38	51	39	38	29	27	40	29
peak281	61	68	142	130	39	48	101	93
peak282	64	83	379	348	63	60	295	226
peak283	101	97	287	216	103	108	192	167
peak284	109	102	451	397	111	97	392	280
peak285	177	181	703	572	160	165	553	464
peak286	296	287	1001	681	281	281	833	715
peak287	9	5	19	21	10	17	21	37
peak288	8	12	54	34	14	14	76	80
peak289	10	12	45	37	16	13	73	48
peak290	29	36	96	76	28	19	80	56
peak291	25	23	94	93	25	24	68	65
peak292	39	28	115	56	27	29	70	63
peak293	88	79	646	689	74	70	518	333
