control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak87	0	0	0	0	0	0	0	0
peak88	12	8	15	57	8	8	238	80
peak89	16	17	143	253	20	12	271	99
peak90	6	2	18	35	6	5	36	16
peak91	0	3	6	7	4	6	37	17
peak92	2	0	3	1	1	0	4	3
peak93	95	232	792	3626	150	139	3146	1464
peak94	107	103	368	1008	67	57	1277	590
peak95	8	10	39	70	10	10	63	22
peak96	6	8	12	12	10	4	5	2
peak97	15	18	58	99	15	23	65	25
peak98	0	0	14	48	4	1	55	48
peak99	1	0	20	30	4	3	34	36
peak100	23	11	127	182	22	16	133	64
peak101	16	9	41	56	9	7	88	58
peak102	8	13	64	68	13	7	70	86
peak103	16	27	119	276	27	17	190	86
peak104	25	27	118	119	26	20	167	119
peak105	8	12	20	59	8	5	83	33
peak106	6	7	12	18	11	2	6	2
peak107	19	9	85	164	18	6	195	78
peak108	17	8	28	6	12	9	48	29
peak109	2	3	31	58	6	3	51	12
peak110	21	12	139	66	17	8	88	32
peak111	13	15	66	94	11	8	48	30
peak112	15	13	77	185	10	9	286	84
peak113	11	12	97	179	12	13	201	65
peak114	8	11	151	147	13	7	81	70
peak115	8	10	40	29	9	10	28	20
peak116	1	1	14	84	0	2	36	15
peak117	81	56	204	286	103	82	328	169
peak118	116	87	252	267	137	91	530	199
peak119	44	35	12	21	44	36	54	26
peak120	201	129	457	182	151	141	439	376
peak121	0	0	0	0	0	1	0	0
peak122	11	9	12	2	10	5	9	2
peak123	76	60	140	31	75	45	115	80
peak124	0	0	0	0	0	0	0	0
peak125	0	0	0	0	0	0	0	0
peak126	0	0	0	0	1	0	0	0
peak127	0	0	0	0	1	0	0	0
peak128	8	8	20	34	7	16	67	29
peak129	2	5	25	24	5	7	65	24
peak130	0	0	0	0	0	0	1	0
peak131	13	21	33	63	26	17	100	26
peak132	5	15	23	65	21	8	164	59
peak133	58	53	377	519	74	63	452	226
peak134	22	25	99	193	40	22	222	109
peak135	20	16	30	25	11	14	23	17
peak136	0	4	2	7	6	2	15	6
peak137	156	180	299	149	135	154	200	132
