control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak439	39	17	345	247	33	8	382	111
peak440	17	11	108	58	11	5	57	38
peak441	29	10	175	96	20	3	133	67
peak442	28	7	143	94	13	9	209	87
peak443	36	11	397	227	20	8	293	94
peak444	9	4	88	15	4	0	51	23
peak445	8	5	414	111	3	2	179	81
peak446	0	0	3	0	0	0	28	19
peak447	31	13	257	151	20	5	277	58
peak448	77	28	603	403	34	12	350	143
peak449	93	33	183	68	34	6	126	46
peak450	68	28	368	191	32	4	198	90
peak451	77	27	297	162	41	13	148	70
peak452	59	10	121	32	10	2	45	14
peak453	27	11	181	76	22	5	189	69
peak454	11	3	68	22	3	0	67	22
peak455	16	7	211	149	10	4	151	62
peak456	211	64	1058	431	114	23	803	256
peak457	8	0	48	10	5	4	24	7
peak458	4	1	60	77	1	1	47	30
peak459	7	2	38	16	4	3	49	18
peak460	10	9	55	8	8	4	143	69
peak461	0	0	14	3	0	0	11	6
peak462	12	8	58	29	5	1	27	10
peak463	8	4	47	21	2	0	33	13
peak464	8	4	58	41	6	2	36	15
peak465	16	5	402	240	20	5	352	130
peak466	58	27	513	484	43	5	526	296
peak467	3591	2179	283	805	1306	785	304	268
peak468	49	19	302	104	43	7	252	70
peak469	55	18	449	288	32	3	433	154
peak470	19	8	40	45	10	3	30	20
peak471	5	5	66	34	9	4	73	11
peak472	3	3	20	30	5	1	18	9
peak473	17	9	283	121	12	6	206	50
peak474	8	8	85	58	3	3	72	44
peak475	4	6	30	25	0	1	31	24
peak476	10	7	37	20	6	3	28	21
peak477	45	6	364	202	10	2	350	113
peak478	11	3	113	123	12	6	86	65
peak479	29	18	118	24	25	9	313	121
peak480	1	0	22	10	1	0	98	77
peak481	0	0	18	0	0	0	67	14
peak482	56	31	883	370	55	24	1310	651
peak483	39	19	425	184	40	16	358	161
peak484	11	11	63	25	11	1	119	61
peak485	126	69	633	622	72	19	521	318
peak486	1	0	16	7	2	0	43	16
peak487	0	1	31	12	1	0	25	9
peak488	22	6	67	40	10	1	59	6
peak489	6	3	106	50	16	1	211	82
peak490	0	1	23	2	2	0	18	18
peak491	35	4	125	22	16	1	69	8
peak492	17	6	81	50	11	2	70	33
peak493	3	1	24	35	1	0	12	13
peak494	5	2	27	12	2	0	21	2
peak495	10	3	25	30	6	0	9	9
peak496	36	13	139	83	17	4	91	47
peak497	22	12	186	135	17	2	108	66
peak498	3	4	186	62	3	0	64	36
peak499	7	6	49	19	1	0	16	6
peak500	155	69	1095	521	70	19	725	262
peak501	19	10	164	68	10	4	64	47
peak502	23	15	206	111	3	5	67	58
peak503	76	19	464	263	44	11	618	106
peak504	41	12	129	44	23	3	135	34
peak505	16	3	151	62	3	3	98	25
peak506	13	6	131	44	4	3	77	24
peak507	17	2	108	90	6	4	66	37
peak508	12	6	110	58	12	0	50	28
peak509	50	17	116	123	18	8	100	67
peak510	4	1	213	112	3	1	139	71
peak511	59	19	724	486	32	12	512	319
peak512	10	3	70	44	3	1	47	29
peak513	12	8	115	64	11	2	89	46
peak514	9	3	24	27	5	2	20	8
peak515	12	4	108	76	5	1	81	29
peak516	17	6	115	76	6	3	81	36
peak517	14	5	218	96	16	0	185	43
peak518	19	3	341	202	12	1	344	90
peak519	38	15	212	215	45	3	282	146
peak520	28	13	216	57	14	6	181	97
peak521	14	6	79	35	3	0	51	12
peak522	13	7	47	25	2	1	43	9
