control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak264	282	49	1938	1052	247	347	602	1251
peak265	2496	486	13421	5352	2857	3472	6247	12087
peak266	112	0	193	145	147	208	197	511
peak267	265	25	617	511	346	422	905	1633
peak268	75	14	892	463	186	225	502	1030
peak269	0	0	61	78	25	36	210	398
peak270	7120	1454	24564	12635	4307	5488	12518	21743
peak271	12754	2284	64102	25795	11155	15039	35443	67142
peak272	19332	3897	111460	75471	17801	19641	52759	118352
peak273	183	50	853	624	549	645	869	1561
peak274	47	0	289	71	30	49	244	534
peak275	23	1	126	194	57	40	66	279
peak276	146	11	644	311	258	337	630	1123
peak277	869	81	3033	1409	1003	1195	2079	4329
peak278	147	64	318	665	252	373	273	508
peak279	73	8	389	231	44	101	381	895
peak280	117	0	822	820	163	177	498	1079
peak281	59	11	987	542	90	97	433	778
peak282	29	23	247	120	75	75	94	197
peak283	55	0	235	225	54	84	195	231
peak284	984	299	12330	8215	2219	2756	10880	21685
peak285	227	16	1004	361	577	679	998	2074
peak286	20	0	240	170	67	102	195	349
peak287	1075	581	9140	4685	1166	1561	2399	4378
peak288	353	58	2966	1395	797	1036	1843	4130
peak289	44	0	184	78	74	80	119	281
peak290	682	26	1638	488	539	641	1043	1657
peak291	2	0	84	83	12	20	48	109
peak292	29	28	412	395	51	47	549	927
peak293	7	0	154	58	11	22	311	390
peak294	14	1	208	5	39	70	256	493
peak295	10	0	372	181	95	119	543	812
peak296	352	138	4527	3477	1424	1482	3533	6037
peak297	417	80	6251	3256	977	1365	6634	12405
peak298	14	22	89	155	70	60	114	185
peak299	626	92	1008	989	1043	1280	762	1743
peak300	0	0	99	130	27	32	61	175
peak301	10	0	44	6	4	12	60	88
peak302	51	0	365	148	105	161	663	1442
peak303	17	0	300	146	105	146	277	573
peak304	40	6	235	151	158	184	451	721
peak305	10	9	171	76	5	15	42	146
peak306	74	12	327	104	31	50	77	192
peak307	41	0	116	23	19	19	47	184
peak308	17	17	118	160	22	38	102	104
peak309	33	13	234	309	45	75	205	241
peak310	15	0	105	11	24	35	74	66
peak311	75	11	221	181	72	120	221	260
peak312	334	45	571	438	232	369	342	737
peak313	46	18	380	132	85	120	250	440
peak314	12	0	156	107	45	33	68	145
