control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak295	292	88	483	433	70	72	119	182
peak296	449	152	722	873	129	129	78	180
peak297	247	112	141	255	49	147	228	537
peak298	433	178	1110	1306	118	158	203	253
peak299	112	47	51	44	61	46	152	128
peak300	121	50	65	81	57	66	211	259
peak301	144	58	160	271	98	79	310	574
peak302	139	38	137	268	75	70	263	552
peak303	7	1	8	5	0	0	11	7
peak304	373	182	935	1280	130	165	137	258
peak305	253	95	173	281	87	70	183	292
peak306	107	34	54	66	49	66	152	245
peak307	59	17	182	276	8	18	52	112
peak308	57	17	52	30	21	11	59	97
peak309	137	57	507	761	137	195	245	392
peak310	706	343	3601	4937	740	808	2149	3052
peak311	62	24	88	124	50	35	208	154
peak312	10	4	146	169	18	9	68	91
peak313	247	107	119	128	127	128	290	333
peak314	118	53	66	92	62	65	172	270
peak315	285	127	381	548	176	168	219	323
peak316	247	123	562	971	121	186	173	380
peak317	84	18	443	363	30	24	95	69
peak318	60	22	61	94	22	11	44	105
peak319	1466	759	6743	9982	765	763	3635	4959
peak320	17	2	39	68	5	9	14	36
peak321	304	161	257	267	163	218	609	862
peak322	1328	633	6559	8555	695	797	1762	3258
peak323	22	10	49	65	39	50	268	371
peak324	100	53	126	169	96	105	573	807
peak325	56	12	139	177	34	46	416	583
peak326	390	131	2033	1985	323	399	2722	3509
peak327	1	1	27	14	3	0	10	14
peak328	504	284	1359	2538	192	320	175	461
peak329	82	37	414	538	37	37	556	1034
peak330	142	67	496	627	72	64	635	1212
peak331	54	12	81	104	32	39	286	400
peak332	226	77	1092	758	142	112	1721	1389
peak333	363	144	809	1456	170	211	656	1507
peak334	45	11	98	141	13	9	126	216
peak335	105	38	228	333	33	52	155	292
peak336	39	15	93	126	16	18	21	52
peak337	47	37	91	231	21	32	132	430
peak338	16	6	80	87	27	29	36	81
peak339	326	191	2223	3653	239	318	724	1130
peak340	12	6	19	37	4	9	18	20
peak341	139	88	106	140	80	112	295	389
peak342	234	105	215	244	123	156	253	381
peak343	103	40	101	104	46	45	134	209
peak344	145	60	186	217	62	47	49	56
peak345	0	0	14	22	1	0	5	5
peak346	101	35	405	716	64	100	310	540
peak347	2	3	12	8	0	1	6	23
peak348	11	10	61	92	4	4	44	60
peak349	6	9	16	25	1	0	7	19
peak350	10	10	58	92	1	7	14	19
peak351	14	5	59	42	15	1	17	15
peak352	21	14	235	266	8	6	22	75
peak353	24	16	86	148	2	5	21	35
peak354	31	7	198	177	11	13	89	120
peak355	4	1	18	16	1	1	20	11
peak356	17	9	99	76	9	5	19	47
peak357	6	2	17	12	2	1	15	4
peak358	11	7	48	38	7	4	19	14
peak359	30	7	91	70	10	1	33	23
peak360	483	173	1574	1744	234	221	2469	4238
peak361	85	38	168	143	27	25	16	21
peak362	324	69	1238	1071	93	87	221	298
peak363	218	59	435	402	68	48	155	105
peak364	7	11	28	40	2	0	9	22
peak365	228	43	175	87	104	62	296	227
peak366	19	5	8	8	14	11	27	53
peak367	5	1	15	26	1	0	3	8
peak368	104	44	357	425	61	74	734	879
peak369	630	368	2388	4012	323	373	1324	2056
peak370	0	0	6	6	1	0	4	8
peak371	251	115	543	798	101	113	135	181
peak372	360	139	685	611	244	255	1746	2364
peak373	329	119	1848	1705	213	241	559	822
peak374	87	36	110	85	55	58	191	271
peak375	19	6	26	10	17	14	51	47
peak376	69	50	215	167	42	48	99	107
peak377	59	40	167	155	37	30	73	99
peak378	0	0	3	1	0	1	1	1
peak379	26	7	30	26	12	11	125	88
peak380	125	32	233	173	58	36	132	91
peak381	19	7	50	58	6	12	80	185
peak382	178	107	559	971	75	62	290	354
peak383	0	0	17	25	2	3	21	57
peak384	191	64	1320	1603	127	104	664	981
peak385	172	98	1449	1525	173	163	979	1658
peak386	110	42	150	182	30	49	65	129
peak387	47	18	289	428	44	38	190	288
peak388	41	14	92	86	19	27	46	24
peak389	166	49	648	626	84	88	336	417
peak390	453	155	500	569	276	208	1174	1703
peak391	2324	753	3361	2329	840	894	2599	2836
peak392	167	48	641	698	82	69	300	523
peak393	248	99	126	233	146	176	334	606
peak394	209	93	145	209	90	119	294	452
peak395	170	68	336	218	63	79	56	122
peak396	171	51	186	172	45	40	269	203
peak397	340	106	2115	1530	146	99	365	370
peak398	284	91	207	272	70	85	237	380
peak399	365	120	1808	1374	135	148	633	791
peak400	36	26	62	86	16	12	116	97
peak401	6	2	58	57	2	2	41	51
peak402	30	7	17	24	13	15	62	81
peak403	22	6	18	17	11	13	50	70
peak404	52	14	40	45	25	28	107	136
peak405	111	36	71	101	35	53	239	282
peak406	36	10	68	72	11	12	104	112
peak407	23	7	106	109	24	20	38	44
peak408	29	10	51	43	7	17	30	85
peak409	14	2	185	170	19	10	54	94
peak410	64	12	28	13	49	20	109	69
peak411	654	197	4217	3638	382	393	3184	4528
peak412	81	30	78	42	38	25	89	95
peak413	159	65	183	201	75	83	214	440
peak414	406	184	753	1008	149	183	149	285
peak415	30	4	24	12	4	3	47	11
peak416	108	21	66	32	42	26	198	76
peak417	51	16	40	44	24	17	48	67
peak418	68	24	75	64	42	21	108	123
peak419	62	10	37	37	23	18	66	81
peak420	131	61	436	689	50	39	61	145
peak421	293	109	505	621	134	82	608	925
peak422	874	285	1322	585	323	236	2452	1145
peak423	572	208	1387	1500	139	175	536	772
peak424	15	7	43	24	6	2	22	9
peak425	9	5	105	90	12	7	55	61
peak426	14	7	256	391	14	12	88	176
peak427	210	76	756	900	85	55	658	915
peak428	9	2	35	37	4	3	14	11
peak429	527	253	1788	2433	269	334	785	1455
peak430	95	34	147	152	40	47	69	106
peak431	249	80	175	160	79	63	177	229
peak432	192	71	341	285	45	56	74	58
peak433	44	14	47	33	11	9	38	31
peak434	3103	1047	3411	2299	1008	705	6641	4736
peak435	1434	263	2448	1025	480	217	4482	1780
peak436	1048	219	2019	904	350	194	3131	1213
peak437	19	5	144	188	11	12	22	66
peak438	4	4	46	23	5	1	28	21
peak439	15	8	159	165	8	10	121	110
peak440	10	3	29	34	12	7	19	16
peak441	24	8	153	132	10	8	32	43
peak442	50	15	265	378	10	11	32	103
peak443	17	6	31	55	1	6	10	8
peak444	4	4	2	8	5	15	41	63
peak445	167	64	1226	1540	43	61	234	542
peak446	4	2	26	40	6	7	27	66
peak447	52	20	208	214	25	11	74	95
peak448	68	26	131	70	34	36	143	144
peak449	235	80	118	76	76	56	172	216
peak450	936	400	2228	2699	203	289	436	928
peak451	323	95	281	290	54	58	98	127
peak452	16	10	78	152	16	7	120	264
peak453	28	17	139	204	20	27	97	121
peak454	76	28	591	956	40	59	309	716
peak455	46	19	261	450	21	29	89	294
peak456	72	25	449	604	29	35	195	369
peak457	25	20	93	156	13	19	21	44
peak458	144	81	267	270	172	212	344	437
peak459	547	202	3170	3449	408	447	1167	2155
peak460	972	282	7461	6201	520	571	4319	6252
peak461	4	8	24	33	2	4	30	19
peak462	3	1	18	19	3	0	18	13
peak463	5	2	6	12	6	3	19	24
peak464	22	12	90	109	13	18	60	85
peak465	11	9	33	74	4	5	9	20
peak466	67	20	150	216	24	20	42	93
peak467	61	27	115	195	16	32	34	62
peak468	69	32	126	181	21	18	29	54
peak469	74	27	175	145	38	43	50	68
peak470	83	49	63	64	46	43	76	132
peak471	61	21	195	254	21	23	29	55
peak472	383	176	151	266	137	267	90	229
peak473	5	0	27	7	0	0	2	10
peak474	9	0	29	6	1	1	8	0
peak475	168	30	324	276	67	77	54	95
peak476	146	42	179	102	46	43	55	56
peak477	698	321	4528	5450	323	327	1041	1842
peak478	371	131	587	537	118	81	240	246
peak479	415	148	443	361	301	258	1327	1106
peak480	729	255	361	315	359	221	1087	686
peak481	1854	776	2332	2542	789	1034	1603	2675
peak482	738	302	1071	1588	262	360	674	1078
peak483	1199	436	1818	1683	482	503	403	405
peak484	1940	672	5621	4853	694	733	1634	2386
peak485	1391	437	6450	3573	448	488	1220	951
peak486	465	177	287	231	146	128	294	339
peak487	14	12	69	61	2	2	10	28
peak488	28	12	63	102	0	2	6	26
peak489	18	8	112	138	1	2	10	17
peak490	85	50	279	478	18	19	256	578
peak491	8	4	27	46	0	3	6	23
peak492	18	0	64	99	3	1	27	22
peak493	180	103	211	323	81	90	235	372
peak494	158	67	139	117	51	58	217	174
peak495	302	170	182	295	126	122	325	507
peak496	874	527	713	858	436	593	984	1271
peak497	4	2	20	11	4	2	29	32
peak498	4	0	22	30	2	0	8	23
peak499	1	0	25	32	1	1	6	11
