control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak347	44	22	632	738	26	32	1076	470
peak348	16	5	267	162	28	10	272	130
peak349	95	48	1225	1013	58	51	568	450
peak350	6	1	201	89	11	5	107	58
peak351	61	14	878	523	80	27	613	285
peak352	11	9	111	134	14	19	86	62
peak353	8	27	39	98	15	19	15	22
peak354	92	85	162	226	89	106	119	101
peak355	17	17	150	107	20	41	53	31
peak356	85	55	202	194	94	59	92	57
peak357	7	3	85	89	8	8	48	31
peak358	16	10	78	68	21	5	39	40
peak359	68	33	1079	810	86	32	1059	464
peak360	10	3	77	39	14	13	42	29
peak361	100	65	2625	1881	87	88	1424	600
peak362	0	0	30	30	0	5	50	19
peak363	0	0	51	37	4	3	120	47
peak364	36	0	56	53	24	4	35	34
peak365	0	0	94	66	6	0	122	63
peak366	2	6	50	43	0	3	28	20
peak367	27	37	95	155	39	33	62	64
peak368	0	2	29	31	0	0	7	12
peak369	5	8	119	131	2	12	57	67
peak370	39	11	114	82	33	18	74	62
peak371	2	6	25	35	19	13	53	100
peak372	53	18	525	654	69	91	302	401
peak373	1113	529	2212	4129	639	708	1740	4359
peak374	50	29	91	95	23	33	37	85
peak375	9	14	199	154	13	3	62	122
peak376	88	44	585	351	15	10	139	146
peak377	74	41	281	431	120	132	364	842
peak378	288	163	7402	5898	249	314	4983	2711
peak379	481	195	3446	1919	571	508	2602	1143
peak380	18	13	329	382	36	30	256	244
peak381	70	53	64	232	78	48	89	195
peak382	171	82	250	243	110	117	157	132
peak383	79	54	91	249	92	68	108	238
peak384	483	269	2281	2257	443	363	1280	1863
peak385	185	104	869	1040	195	123	715	552
peak386	51	41	165	154	51	30	61	37
peak387	77	58	248	333	64	64	69	59
peak388	9	4	188	159	3	1	46	25
peak389	4	5	334	350	0	5	140	55
peak390	22	15	172	358	19	43	123	152
peak391	52	29	133	169	47	56	186	77
peak392	25	10	170	145	28	17	72	57
peak393	1	2	42	26	0	13	53	22
peak394	89	73	669	684	146	169	929	430
peak395	36	33	159	199	50	147	84	100
peak396	174	41	162	97	260	111	385	198
