control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak340	60	43	118	90	51	36	476	217
peak341	15	18	63	98	15	8	32	8
peak342	56	33	231	189	46	36	265	126
peak343	99	83	694	1090	102	82	1622	657
peak344	20	23	53	52	19	19	79	63
peak345	7	4	22	33	5	9	55	17
peak346	3	11	43	165	15	13	104	53
peak347	10	25	69	148	15	15	53	45
peak348	129	161	587	1235	277	324	1547	966
peak349	62	112	285	579	172	214	867	501
peak350	5	7	18	39	7	8	11	9
peak351	7	3	38	57	3	3	72	29
peak352	74	59	285	36	66	53	352	209
peak353	51	51	91	166	66	43	93	43
peak354	150	205	599	1435	175	150	999	548
peak355	17	12	73	135	7	6	51	29
peak356	9	8	24	18	21	16	54	46
peak357	4	6	49	20	14	23	42	11
peak358	4	8	23	54	5	12	83	34
peak359	12	8	27	52	15	20	88	62
peak360	12	5	17	26	7	16	77	49
peak361	14	12	38	135	18	11	190	108
peak362	22	27	24	28	15	9	89	44
peak363	5	5	18	54	8	2	73	14
peak364	4	4	33	107	4	5	95	41
peak365	6	6	25	90	9	6	46	13
peak366	2	11	23	73	4	5	48	17
peak367	5	5	38	79	8	3	111	41
peak368	9	7	82	172	18	7	224	50
peak369	4	2	27	43	6	1	45	17
peak370	7	5	32	44	4	6	31	31
peak371	3	2	17	67	3	4	33	10
peak372	37	16	115	191	20	13	241	77
peak373	28	27	91	20	30	29	124	116
peak374	52	126	79	284	13	34	40	108
peak375	35	32	159	279	28	25	187	98
peak376	3	2	6	54	4	2	21	7
peak377	48	34	107	243	71	43	446	316
peak378	5	10	25	73	10	10	57	21
peak379	29	24	184	353	60	60	603	277
peak380	35	23	127	70	23	21	225	127
peak381	37	28	154	146	22	26	254	106
peak382	19	16	76	92	26	19	34	25
peak383	42	36	150	159	28	22	95	48
peak384	83	55	251	280	51	59	137	84
peak385	60	42	117	114	50	30	125	101
peak386	13	18	62	46	24	24	51	54
peak387	19	17	30	13	31	22	82	62
peak388	3	8	17	34	4	2	100	25
peak389	2	2	65	76	5	4	70	28
peak390	63	72	307	533	69	60	395	178
peak391	70	69	771	1035	98	76	974	549
peak392	25	29	169	160	42	33	108	82
peak393	8	7	43	36	13	2	51	33
peak394	33	39	115	119	23	35	94	42
peak395	45	40	142	161	60	55	91	51
peak396	59	46	293	129	49	46	405	359
peak397	8	6	11	15	5	7	31	39
peak398	7	3	35	50	8	7	62	20
peak399	13	14	25	13	27	15	88	76
peak400	9	16	51	182	25	23	306	105
peak401	7	5	27	74	13	7	66	19
peak402	5	4	13	74	10	4	75	29
peak403	18	23	56	59	17	21	78	29
peak404	10	17	47	19	21	15	68	43
peak405	25	12	53	75	27	14	92	40
peak406	18	15	31	35	12	6	115	53
peak407	17	14	113	48	19	14	99	83
peak408	50	58	249	469	37	41	196	99
peak409	5	10	37	113	3	3	157	86
peak410	10	8	47	181	7	7	131	50
peak411	11	3	37	104	4	8	80	42
peak412	170	136	608	458	94	83	268	156
peak413	111	95	160	349	62	54	126	41
peak414	20	35	35	121	34	11	33	18
peak415	4	9	30	76	2	5	32	7
peak416	16	5	87	75	13	11	202	101
peak417	26	14	105	201	22	18	147	46
peak418	27	17	117	101	23	22	69	25
peak419	12	9	48	95	13	8	119	110
peak420	25	25	121	68	28	26	174	71
peak421	14	8	55	27	18	9	35	31
peak422	27	19	205	274	26	32	186	98
peak423	16	10	87	98	16	24	98	34
peak424	9	7	40	107	4	6	88	49
peak425	80	89	300	201	80	59	249	147
peak426	17	17	55	4	11	10	82	78
peak427	64	66	197	558	64	83	359	138
peak428	17	16	22	131	29	19	55	28
peak429	18	12	34	103	12	9	92	35
peak430	12	10	34	8	7	6	36	48
peak431	25	33	50	62	27	17	153	105
peak432	15	13	20	75	8	13	117	31
peak433	9	16	12	52	21	9	33	48
peak434	8	3	21	33	19	10	111	48
peak435	1	7	19	40	9	0	105	42
peak436	23	19	35	93	27	22	120	32
peak437	6	15	41	133	14	8	106	50
peak438	37	46	242	687	62	52	653	258
peak439	22	33	138	249	58	50	294	101
peak440	28	31	112	167	47	41	147	64
peak441	102	92	422	1094	93	73	611	238
peak442	48	36	104	157	33	25	347	166
peak443	25	23	216	268	32	19	283	148
peak444	23	28	130	452	50	65	330	163
peak445	2	2	14	80	1	0	10	3
peak446	82	83	207	185	72	79	152	107
peak447	39	16	68	231	14	26	308	154
peak448	8	10	36	117	10	7	51	16
peak449	7	5	58	117	6	4	101	26
peak450	31	35	141	279	31	24	221	64
peak451	19	20	34	107	12	10	17	13
peak452	49	50	342	676	29	43	511	261
peak453	5	6	33	16	1	4	12	16
peak454	6	7	42	3	4	4	2	4
peak455	9	3	46	37	6	0	31	12
peak456	13	6	107	97	4	6	65	35
peak457	126	117	451	146	92	73	385	280
peak458	119	82	170	123	74	66	241	135
peak459	21	24	129	116	19	10	92	56
peak460	11	10	49	77	12	11	44	9
peak461	15	10	19	3	7	5	40	35
peak462	40	28	193	218	33	17	127	53
peak463	11	9	31	26	13	3	24	9
peak464	17	25	59	117	27	26	67	30
peak465	11	8	41	71	15	14	21	22
peak466	17	23	77	213	19	34	184	66
peak467	18	13	98	137	24	13	80	45
peak468	13	7	62	33	7	8	65	34
peak469	6	6	39	92	8	3	87	18
peak470	4	7	41	3	4	1	5	3
peak471	16	6	91	14	6	2	31	24
peak472	31	17	176	136	4	8	72	37
peak473	23	10	156	62	6	6	22	21
peak474	1	2	14	51	3	1	18	17
peak475	6	10	56	157	12	14	83	46
peak476	13	13	58	107	17	17	76	42
peak477	74	87	473	995	79	116	734	368
peak478	25	25	73	33	27	18	171	106
peak479	25	20	197	46	30	22	364	188
peak480	67	53	235	238	60	41	387	167
peak481	138	88	524	309	113	86	505	349
peak482	36	30	65	10	29	18	77	55
peak483	42	30	116	48	40	34	214	108
peak484	36	28	108	33	35	22	177	111
peak485	94	78	485	594	104	78	746	363
peak486	13	9	71	192	13	9	188	51
peak487	74	41	375	1011	104	77	855	445
peak488	11	7	53	97	10	20	282	134
peak489	61	30	254	249	42	40	282	202
peak490	5	6	11	82	7	11	66	16
peak491	2	11	21	98	2	4	54	29
peak492	3	14	47	176	7	7	140	75
peak493	2	6	20	118	8	5	78	21
peak494	9	18	92	128	16	11	135	87
peak495	21	15	144	174	28	16	254	110
peak496	12	10	36	53	4	7	24	9
peak497	28	28	181	351	32	23	433	183
peak498	12	8	62	139	20	8	93	43
peak499	1	2	23	31	4	6	20	29
peak500	10	5	41	55	4	2	64	28
peak501	8	2	44	86	6	3	76	38
peak502	6	2	49	42	4	2	75	10
peak503	40	32	174	320	19	34	163	82
peak504	11	12	41	102	13	12	43	16
peak505	40	54	105	108	32	37	38	24
peak506	6	7	49	39	13	6	23	12
peak507	11	6	41	61	17	6	55	21
peak508	8	8	47	63	5	5	48	26
peak509	20	12	94	154	24	21	219	73
peak510	3	0	19	65	8	4	55	7
peak511	32	26	171	243	23	12	218	111
peak512	18	16	140	147	20	10	191	133
peak513	16	14	33	36	10	5	31	28
peak514	12	12	41	65	16	8	41	29
peak515	33	27	249	329	30	24	408	197
peak516	34	21	171	239	19	23	274	136
peak517	23	26	135	320	23	21	222	104
peak518	3	5	52	96	8	7	114	35
peak519	13	18	22	12	28	13	37	30
peak520	2	4	21	44	3	2	48	28
peak521	8	4	24	45	5	5	18	5
peak522	1	1	1	14	1	1	78	25
peak523	3	1	39	29	5	1	47	20
peak524	4	4	36	34	3	6	26	17
peak525	5	1	49	27	4	4	13	11
peak526	11	13	88	148	10	12	153	80
peak527	6	2	22	38	0	1	3	3
peak528	74	55	319	545	64	50	342	134
peak529	3	3	40	24	2	7	67	31
peak530	1	2	17	5	4	3	23	27
peak531	76	95	228	1113	98	95	672	253
peak532	17	24	15	191	37	22	79	20
peak533	21	28	99	64	28	23	19	14
peak534	16	16	45	12	19	10	125	47
peak535	19	16	70	52	11	6	38	17
peak536	27	34	96	64	40	35	58	61
peak537	30	33	98	101	39	37	78	77
peak538	148	108	1074	2329	113	71	3428	1729
peak539	34	25	131	421	31	23	161	76
peak540	6	7	38	112	13	6	29	11
peak541	16	11	57	89	21	21	54	23
peak542	2	11	39	81	4	5	109	39
peak543	9	9	53	51	7	9	57	45
peak544	14	11	80	178	13	13	135	62
peak545	85	144	504	1756	132	134	1019	549
peak546	100	153	321	1288	121	110	700	324
peak547	65	90	232	724	49	54	486	126
peak548	14	26	46	62	23	18	10	12
peak549	10	2	36	127	5	5	93	49
peak550	10	3	23	63	7	1	42	37
peak551	47	37	207	737	63	54	664	222
peak552	185	130	552	827	195	163	1015	381
peak553	78	65	175	265	97	99	247	100
peak554	20	17	101	260	27	25	242	100
peak555	2	4	17	67	1	4	53	22
peak556	5	13	50	68	14	6	63	7
peak557	8	9	85	193	3	2	155	51
peak558	9	2	23	48	6	3	27	9
peak559	20	14	96	73	20	18	86	57
peak560	60	58	372	1384	45	35	837	263
peak561	15	14	34	26	7	14	58	38
peak562	6	4	30	63	7	13	202	164
peak563	0	0	11	36	1	3	27	22
peak564	18	12	95	123	16	7	73	36
peak565	14	16	17	77	13	21	133	61
peak566	18	24	70	19	21	13	39	44
peak567	47	26	262	120	10	7	78	49
peak568	21	8	63	52	3	2	23	10
peak569	7	5	34	35	2	2	7	7
peak570	3	1	28	58	6	9	52	15
peak571	17	10	67	102	13	11	49	15
peak572	10	7	77	99	10	12	80	31
peak573	18	14	35	43	5	4	47	27
peak574	5	14	93	118	11	9	83	23
peak575	24	26	65	217	22	19	60	17
peak576	62	49	251	369	58	57	440	146
peak577	93	109	304	578	90	92	1055	634
peak578	19	18	73	98	12	14	79	43
peak579	50	60	164	129	45	36	58	40
peak580	36	34	119	101	20	9	65	24
peak581	10	6	33	86	6	5	23	5
peak582	32	24	192	131	16	14	65	36
peak583	41	32	273	233	16	22	145	75
peak584	13	12	65	55	5	6	101	41
peak585	25	19	110	149	19	7	122	29
peak586	24	16	69	107	18	8	89	44
peak587	21	27	206	569	26	18	263	86
