control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak212	42	41	32	126	37	27	66	27
peak213	45	40	59	116	69	41	43	33
peak214	51	56	31	91	93	54	34	48
peak215	69	86	108	296	129	86	111	127
peak216	99	104	52	65	144	63	30	27
peak217	358	285	275	673	421	248	255	221
peak218	200	212	178	495	232	154	105	160
peak219	9	13	17	86	24	8	46	84
peak220	103	99	515	1166	97	63	356	453
peak221	50	53	92	231	67	42	122	78
peak222	120	87	194	582	159	84	191	216
peak223	159	169	179	310	165	69	70	56
peak224	156	151	77	174	116	67	23	54
peak225	462	537	1059	2105	344	211	429	610
peak226	53	50	39	80	49	24	31	22
peak227	53	76	51	123	72	34	22	37
peak228	8	13	38	88	17	3	28	18
peak229	8	14	30	55	3	7	20	32
peak230	3	6	26	72	8	5	48	17
peak231	1506	1536	1689	1983	2116	1464	1319	3119
peak232	22	16	14	56	17	11	14	58
peak233	60	58	71	167	51	33	59	58
peak234	50	57	54	102	54	36	4	21
peak235	78	80	64	202	86	60	111	40
peak236	15	15	18	39	6	7	0	5
peak237	4	14	25	75	7	6	52	19
peak238	147	118	123	319	153	81	125	114
peak239	125	122	191	419	130	69	147	138
peak240	1225	1266	779	1489	818	462	821	655
peak241	1423	1375	544	1203	994	509	181	206
peak242	16	17	12	40	6	4	7	6
peak243	12	10	36	55	23	4	41	56
peak244	69	81	153	315	108	70	118	176
peak245	2043	1952	687	1215	2010	1352	805	1094
peak246	14	8	23	46	7	5	27	12
peak247	28	31	24	45	32	27	38	53
peak248	645	576	596	783	716	539	826	785
peak249	44	41	45	90	61	49	17	15
peak250	41	53	19	85	96	47	8	13
peak251	50	42	49	89	42	37	14	17
peak252	55	59	58	146	46	19	26	36
peak253	1	3	2	54	1	1	16	13
peak254	73	76	266	403	68	31	189	336
peak255	141	132	276	566	142	56	211	188
peak256	67	56	539	1122	67	26	436	378
peak257	46	37	43	98	46	21	56	37
peak258	79	77	164	321	123	49	139	140
peak259	70	67	157	366	105	55	113	167
peak260	67	88	118	276	76	35	120	99
peak261	43	66	32	86	64	23	12	20
peak262	122	132	115	310	209	121	43	42
peak263	30	15	25	53	21	27	20	33
peak264	62	49	83	158	64	22	54	53
peak265	29	29	12	49	43	24	17	6
peak266	77	99	82	118	133	56	31	32
peak267	193	172	273	497	167	74	151	221
peak268	566	497	681	1381	706	386	733	604
peak269	586	564	788	1090	887	480	638	908
peak270	13	26	22	47	20	14	31	32
peak271	98	77	43	84	110	52	16	38
peak272	102	88	100	182	112	56	69	134
peak273	25	33	25	35	30	16	4	13
peak274	60	45	139	173	72	39	62	64
peak275	7	16	27	51	11	4	3	1
peak276	23	23	15	38	25	15	13	8
peak277	14	15	13	46	20	9	2	13
peak278	8	15	48	89	15	5	37	59
peak279	11	17	83	217	16	7	95	71
peak280	26	14	27	86	34	16	46	39
peak281	31	27	32	53	19	14	10	23
peak282	29	30	92	199	41	18	115	107
